School,Men Basketball,4-Class,GSR Rate,School2,Overall G,Overall W,Overall L,Overall W-L%
Gardner-Webb University,12,100-b,1,Gardner-Webb,33,18,15,0.5
George Mason University,13,88-d,0.88,George Mason,31,11,20,0.543
George Washington University,11,100-b,1,#N/A,#N/A,#N/A,#N/A,#N/A
Georgetown University,15,100-c,1,Georgetown,33,18,15,0.706
Georgia Institute of Technology,14,67-c,0.67,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia Southern University,13,86-c,0.86,Georgia Southern,34,15,19,0.484
Georgia State University,14,70-b,0.7,Georgia,34,20,14,0.563
Gonzaga University,12,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
Grambling State University,10,64-c,0.64,Grambling,29,5,24,0.219
Grand Canyon University,13,77-c,0.77,Grand Canyon,30,15,15,0.323
Hampton University,16,64-c,0.64,Hampton,31,18,13,0.923
Harvard University,0,100-d,1,#N/A,#N/A,#N/A,#N/A,#N/A
High Point University,14,92-c,0.92,High Point,31,16,15,0.313
Hofstra University,10,75-d,0.75,Hofstra,33,10,23,0.629
Houston Christian University,16,67-c,0.67,Houston Christian,31,6,25,0.484
Howard University,0,79-c,0.79,Howard,33,8,25,0.611
Idaho State University,13,73-c,0.73,Idaho,34,16,18,0.323
Illinois State University,11,93-c,0.93,Illinois,35,20,15,0.538
Indiana State University,13,83-c,0.83,Indiana,32,17,15,0.3
Indiana University Bloomington,13,90-b,0.9,#N/A,#N/A,#N/A,#N/A,#N/A
Indiana University Indianapolis,16,67-c,0.67,#N/A,#N/A,#N/A,#N/A,#N/A
Iona University,13,100-c,1,Iona,33,22,11,0.727
Iowa State University,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Jackson State University,12,75-d,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
Jacksonville State University,13,83-c,0.83,Jacksonville,30,12,18,0.441
Jacksonville University,11,100-c,1,Jacksonville,30,12,18,0.441
James Madison University,15,83-c,0.83,James Madison,31,11,20,0.485
Kansas State University,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Kennesaw State University,13,86-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
Kent State University,13,80-c,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
La Salle University,13,100-c,1,La Salle,31,15,16,0.774
Lafayette College,12,100-c,1,Lafayette,31,11,20,0.581
Lamar University,14,83-d,0.83,Lamar,30,4,26,0.515
Lehigh University,13,94-d,0.94,Lehigh,32,14,18,0.844
Liberty University,13,86-c,0.86,Liberty,32,11,21,0.645
Lipscomb University,14,100-b,1,Lipscomb,30,15,15,0.516
Long Beach State University,17,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
Long Island University,13,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
Longwood University,17,86-c,0.86,Longwood,32,8,24,0.515
Louisiana State University,13,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
Louisiana Tech University,13,100-c,1,Louisiana Tech,37,29,8,0.242
Loyola Marymount University,12,88-d,0.88,Loyola Marymount,32,13,19,0.471
Loyola University Chicago,12,87-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
Loyola University Maryland,15,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Manhattan University,0,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Marist University,14,91-c,0.91,Marist,31,12,19,0.194
Marquette University,12,93-c,0.93,Marquette,32,17,15,0.778
Marshall University,12,64-c,0.64,Marshall,33,11,22,0.531
McNeese State University,13,61-d,0.61,#N/A,#N/A,#N/A,#N/A,#N/A
Mercer University,12,93-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
Miami University (Ohio),9,69-c,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
Michigan State University,13,91-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
Middle Tennessee State University,13,100-c,1,Middle Tennessee,33,24,9,0.188
Mississippi State University,12,95-d,0.95,Mississippi,33,19,14,0.355
Mississippi Valley State University,9,56-d,0.56,#N/A,#N/A,#N/A,#N/A,#N/A
Missouri State University,13,100-b,1,Missouri,35,23,12,0.323
Monmouth University,14,100-c,1,Monmouth,32,11,21,0.355
Montana State University-Bozeman,16,87-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
Morehead State University,13,80-c,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
Morgan State University,12,69-d,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
Mount St. Mary's University,13,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
Murray State University,14,78-b,0.78,#N/A,#N/A,#N/A,#N/A,#N/A
New Jersey Institute of Technology,13,100-b,1,#N/A,#N/A,#N/A,#N/A,#N/A
New Mexico State University,13,63-d,0.63,#N/A,#N/A,#N/A,#N/A,#N/A
Niagara University,12,100-c,1,Niagara,33,7,26,0.355
Nicholls State University,12,53-c,0.53,#N/A,#N/A,#N/A,#N/A,#N/A
Norfolk State University,15,64-c,0.64,#N/A,#N/A,#N/A,#N/A,#N/A
North Carolina A&T State University,15,75-d,0.75,North Carolina A&T,32,9,23,0.344
North Carolina Central University,12,73-c,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
North Carolina State University,10,79-c,0.79,#N/A,#N/A,#N/A,#N/A,#N/A
North Dakota State University,13,92-c,0.92,North Dakota,34,17,17,0.469
Northeastern University,12,92-c,0.92,Northeastern,32,11,21,0.31
Northern Arizona University,14,91-c,0.91,Northern Arizona,32,15,17,0.25
Northern Illinois University,13,92-c,0.92,Northern Illinois,32,15,17,0.657
Northern Kentucky University,14,92-c,0.92,Northern Kentucky,30,9,21,0.588
Northwestern State University,14,87-c,0.87,Northwestern,33,14,19,0.784
Northwestern University,14,92-c,0.92,Northwestern,33,14,19,0.784
Oakland University,12,92-c,0.92,Oakland,33,13,20,0.838
Ohio University,13,83-c,0.83,Ohio,37,25,12,0.313
Oklahoma State University,15,63-d,0.63,#N/A,#N/A,#N/A,#N/A,#N/A
Old Dominion University,13,73-c,0.73,Old Dominion,36,18,18,0.406
Oral Roberts University,15,64-c,0.64,Oral Roberts,33,17,16,0.207
Oregon State University,0,78-b,0.78,#N/A,#N/A,#N/A,#N/A,#N/A
Pennsylvania State University,13,100-b,1,Pennsylvania,28,8,20,0.387
Pepperdine University,12,85-c,0.85,Pepperdine,31,15,16,0.531
Portland State University,6,73-c,0.73,Portland,31,15,16,0.333
Prairie View A&M University,17,79-c,0.79,#N/A,#N/A,#N/A,#N/A,#N/A
Presbyterian College,11,91-c,0.91,Presbyterian,32,6,26,0.3
Princeton University,0,100-c,1,Princeton,30,21,9,0.2
Providence College,14,75-d,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
Purdue University,1,100-c,1,Purdue,32,15,17,0.357
Purdue University Fort Wayne,13,81-d,0.81,Purdue Fort Wayne,36,25,11,0.355
Quinnipiac University,13,100-c,1,Quinnipiac,32,20,12,0.706
Radford University,12,94-d,0.94,Radford,35,22,13,0.75
Rice University,13,100-d,1,Rice,30,7,23,0.515
Rider University,13,91-c,0.91,Rider,31,14,17,0.419
Robert Morris University,12,61-d,0.61,Robert Morris,36,22,14,0.757
Rochester Institute of Technology,0,82-c,No Match,#N/A,#N/A,#N/A,#N/A,#N/A
Rutgers The State University of New Jersey New Brunswick,12,91-c,0.82,#N/A,#N/A,#N/A,#N/A,#N/A
Sacred Heart University,13,100-b,0.91,Sacred Heart,31,5,26,0.6
Saint Francis University,13,91-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Saint Joseph's University,13,92-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
Saint Louis University,12,100-b,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
Saint Mary's College of California,15,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Saint Peter's University,13,56-d,1,Saint Peter's,31,14,17,0.657
Sam Houston State University,13,91-c,0.56,Sam Houston,35,24,11,0.606
Samford University,13,85-c,0.91,Samford,33,13,20,0.344
San Diego State University,14,50-d,0.85,San Diego,35,18,17,0.567
San Jose State University,12,100-b,0.5,#N/A,#N/A,#N/A,#N/A,#N/A
Santa Clara University,13,50-c,1,Santa Clara,33,14,19,0.588
Savannah State University,13,100-c,0.5,#N/A,#N/A,#N/A,#N/A,#N/A
Seattle University,14,93-c,1,Seattle,30,13,17,0.485
Seton Hall University,13,80-c,0.93,Seton Hall,34,17,17,0.676
Siena College,12,63-d,0.8,Siena,38,20,18,0.3
South Carolina State University,13,81-d,0.63,South Carolina,34,14,20,0.611
South Dakota State University,13,71-c,0.81,South Dakota,30,12,18,0.594
Southeast Missouri State University,14,94-d,0.71,#N/A,#N/A,#N/A,#N/A,#N/A
Southeastern Louisiana University,14,93-c,0.94,Southeastern Louisiana,30,12,18,0.606
Southern Illinois University Edwardsville,12,100-a,1,#N/A,#N/A,#N/A,#N/A,#N/A
Southern Illinois University at Carbondale,17,81-d,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
Southern Methodist University,11,70-b,0.81,Southern Methodist,37,27,10,0.722
Southern University Baton Rouge,12,86-c,0.7,#N/A,#N/A,#N/A,#N/A,#N/A
Southern Utah University,15,100-c,0.86,Southern Utah,29,2,27,0.212
St. Bonaventure University,13,87-c,1,St. Bonaventure,33,18,15,0.483
St. Francis College Brooklyn,13,100-b,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
St. John's University (New York),14,93-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Stanford University,18,67-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
Stephen F. Austin State University,12,92-c,0.67,#N/A,#N/A,#N/A,#N/A,#N/A
Stetson University,16,80-c,0.92,Stetson,31,7,24,0.824
Stony Brook University,14,83-d,0.8,Stony Brook,34,23,11,0.5
Syracuse University,13,73-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
Temple University,12,83-c,0.73,Temple,31,9,22,0.5
Tennessee State University,12,69-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
Tennessee Technological University,13,75-d,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
Texas A&M University-Corpus Christi,13,86-c,0.86,Texas A&M-Corpus Christi,34,18,16,0.469
Texas A&M University College Station,13,100-c,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
Texas Christian University,13,35-e,1,#N/A,#N/A,#N/A,#N/A,#N/A
Texas Southern University,11,82-d,0.35,#N/A,#N/A,#N/A,#N/A,#N/A
Texas State University,13,100-c,0.82,#N/A,#N/A,#N/A,#N/A,#N/A
Texas Tech University,9,92-c,1,Texas Tech,32,14,18,0.424
The Citadel,12,92-c,No Match,The Citadel,33,7,26,0.548
The Ohio State University,11,93-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
The University of North Carolina at Charlotte,11,65-d,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
The University of North Carolina at Greensboro,14,88-d,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
The University of Southern Mississippi,13,91-c,0.65,#N/A,#N/A,#N/A,#N/A,#N/A
The University of Texas Rio Grande Valley,13,67-c,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
The University of Tulsa,15,80-b,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
Towson University,13,100-b,0.67,Towson,36,25,11,0.5
Troy University,13,94-d,0.8,Troy,31,11,20,0.531
Tulane University,13,100-e,1,Tulane,34,17,17,0.515
U.S. Air Force Academy,0,95-d,0.94,#N/A,#N/A,#N/A,#N/A,#N/A
U.S. Military Academy,0,85-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
U.S. Naval Academy,0,93-c,0.95,#N/A,#N/A,#N/A,#N/A,#N/A
University at Albany,15,77-c,0.85,#N/A,#N/A,#N/A,#N/A,#N/A
University at Buffalo the State University of New York,15,92-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Akron,13,77-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of Alabama,13,75-d,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Alabama at Birmingham,14,77-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arizona,11,75-b,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arkansas Fayetteville,13,65-d,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arkansas Pine Bluff,11,73-c,0.65,#N/A,#N/A,#N/A,#N/A,#N/A
University of Arkansas at Little Rock,13,92-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Berkeley,13,77-c,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Davis,14,100-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Irvine,16,72-d,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Los Angeles,12,77-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Riverside,13,75-d,0.72,#N/A,#N/A,#N/A,#N/A,#N/A
University of California Santa Barbara,14,86-b,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of Central Arkansas,13,83-c,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Central Florida,12,100-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of Cincinnati,14,100-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of Colorado Boulder,12,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Connecticut,12,83-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Dayton,12,92-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Delaware,13,91-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of Denver,13,100-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Detroit Mercy,12,100-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
University of Evansville,13,91-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Florida,11,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Georgia,14,83-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
University of Hartford,12,55-d,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Hawaii Manoa,13,100-d,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of Houston,15,88-d,0.55,#N/A,#N/A,#N/A,#N/A,#N/A
University of Idaho,12,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Illinois Chicago,13,92-c,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Illinois Urbana-Champaign,12,86-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Iowa,13,100-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Kansas,12,88-d,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of Kentucky,8,73-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Louisiana Monroe,13,89-b,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
University of Louisiana at Lafayette,13,88-b,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Louisville,3,77-c,0.89,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maine,12,92-c,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maryland Baltimore County,14,67-c,0.77,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maryland College Park,14,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Maryland Eastern Shore,0,93-c,0.67,#N/A,#N/A,#N/A,#N/A,#N/A
University of Massachusetts Amherst,13,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Massachusetts Lowell,9,90-b,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Memphis,17,100-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of Miami (Florida),11,91-c,0.9,#N/A,#N/A,#N/A,#N/A,#N/A
University of Michigan,10,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Minnesota Twin Cities,13,83-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
University of Mississippi,13,86-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Missouri-Kansas City,12,85-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of Missouri Columbia,13,91-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of Montana,13,100-c,0.85,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nebraska-Lincoln,12,87-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nebraska at Omaha,12,93-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nevada Las Vegas,13,73-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
University of Nevada Reno,12,100-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of New Hampshire,0,65-d,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
University of New Mexico,13,69-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of New Orleans,15,69-c,0.65,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Carolina Asheville,13,86-c,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Carolina Chapel Hill,13,93-c,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Carolina Wilmington,16,88-d,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Dakota,13,76-d,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Florida,12,93-c,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of North Texas,11,93-c,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
University of Northern Colorado,13,100-b,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Northern Iowa,13,100-b,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Notre Dame,12,85-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Oklahoma,18,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Oregon,10,100-c,0.85,#N/A,#N/A,#N/A,#N/A,#N/A
University of Pennsylvania,0,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Pittsburgh,14,93-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Portland,13,92-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Rhode Island,12,100-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Richmond,15,73-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of San Diego,9,87-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of San Francisco,14,83-c,0.73,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Alabama,11,71-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Carolina Columbia,13,100-d,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Carolina Upstate,13,100-b,0.71,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Dakota,13,75-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of South Florida,14,86-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Southern California,17,88-b,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Tennessee Knoxville,3,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Tennessee at Chattanooga,12,80-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
University of Tennessee at Martin,13,90-b,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at Arlington,16,88-d,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at Austin,13,75-d,0.9,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at El Paso,12,92-e,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Texas at San Antonio,12,83-d,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
University of Toledo,13,79-c,0.79,#N/A,#N/A,#N/A,#N/A,#N/A
University of Utah,17,90-b,0.9,#N/A,#N/A,#N/A,#N/A,#N/A
University of Vermont,12,93-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
University of Virginia,12,62-c,0.62,#N/A,#N/A,#N/A,#N/A,#N/A
University of Washington,13,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wisconsin-Green Bay,14,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wisconsin-Madison,16,88-d,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wisconsin-Milwaukee,13,69-c,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wyoming,13,82-d,0.82,#N/A,#N/A,#N/A,#N/A,#N/A
University of the Incarnate Word,9,89-d,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
University of the Pacific,12,91-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
Utah State University,4,94-d,0.89,Utah,33,21,12,0.743
Utah Valley University,12,100-c,0.91,Utah Valley,32,20,12,0.629
Valparaiso University,11,100-c,0.94,Valparaiso,34,18,16,0.29
Vanderbilt University,9,100-c,1,Vanderbilt,31,15,16,0.613
Villanova University,11,91-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Virginia Commonwealth University,13,80-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Virginia Military Institute,13,100-c,No Match,#N/A,#N/A,#N/A,#N/A,#N/A
Virginia Polytechnic Institute and State University,13,67-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
Wagner College,12,80-c,0.8,Wagner,31,19,12,0.515
Wake Forest University,13,87-c,1,Wake Forest,33,17,16,0.559
Washington State University,14,100-c,0.67,Washington,32,17,15,0.333
Weber State University,13,93-c,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
West Virginia University,11,75-c,0.87,West Virginia,33,17,16,0.697
Western Carolina University,13,88-d,1,Western Carolina,34,19,15,0.972
Western Illinois University,12,93-c,0.93,Western Illinois,30,10,20,0.625
Western Kentucky University,13,100-c,0.75,Western Kentucky,32,20,12,0.606
Western Michigan University,13,81-d,0.88,#N/A,#N/A,#N/A,#N/A,#N/A
Wichita State University,3,100-c,0.93,#N/A,#N/A,#N/A,#N/A,#N/A
William & Mary,14,79-c,1,William & Mary,32,20,12,0.583
Winthrop University,17,80-c,0.81,Winthrop,33,20,13,0.545
Wofford College,11,100-d,1,#N/A,#N/A,#N/A,#N/A,#N/A
Wright State University,13,82-d,0.79,#N/A,#N/A,#N/A,#N/A,#N/A
