,Basketball,CC/Track,Other,School
Am. Ind./AN,0,0,0,William & Mary
Asian,1,0,5,William & Mary
Black,2,1,4,William & Mary
Hispanic,0,2,6,William & Mary
Nat. Haw./PI,0,0,0,William & Mary
N-R Alien,0,0,8,William & Mary
Two or More,4,1,10,William & Mary
Unknown,1,0,18,William & Mary
White,6,23,140,William & Mary
Total,14,27,191,William & Mary
Am. Ind./AN,0,0,0,Winthrop University
Asian,0,1,0,Winthrop University
Black,11,22,6,Winthrop University
Hispanic,0,0,3,Winthrop University
Nat. Haw./PI,0,0,1,Winthrop University
N-R Alien,2,0,26,Winthrop University
Two or More,0,0,0,Winthrop University
Unknown,0,0,0,Winthrop University
White,2,13,85,Winthrop University
Total,15,36,121,Winthrop University
Am. Ind./AN,0,0,0,Wofford College
Asian,0,0,0,Wofford College
Black,6,1,1,Wofford College
Hispanic,1,2,1,Wofford College
Nat. Haw./PI,0,0,0,Wofford College
N-R Alien,0,0,2,Wofford College
Two or More,1,0,1,Wofford College
Unknown,0,0,0,Wofford College
White,5,7,42,Wofford College
Total,13,10,47,Wofford College
Am. Ind./AN,0,0,0,Wright State University
Asian,0,0,0,Wright State University
Black,8,9,3,Wright State University
Hispanic,0,0,3,Wright State University
Nat. Haw./PI,0,0,0,Wright State University
N-R Alien,1,0,7,Wright State University
Two or More,2,2,1,Wright State University
Unknown,0,0,0,Wright State University
White,4,8,64,Wright State University
Total,15,19,78,Wright State University
Am. Ind./AN,0,0,0,Xavier University
Asian,0,0,0,Xavier University
Black,7,0,4,Xavier University
Hispanic,0,1,2,Xavier University
Nat. Haw./PI,0,0,0,Xavier University
N-R Alien,1,0,1,Xavier University
Two or More,1,0,6,Xavier University
Unknown,0,1,1,Xavier University
White,4,15,57,Xavier University
Total,13,17,71,Xavier University
Am. Ind./AN,0,0,2,Yale University
Asian,1,0,25,Yale University
Black,3,4,3,Yale University
Hispanic,0,1,16,Yale University
Nat. Haw./PI,0,0,0,Yale University
N-R Alien,0,2,30,Yale University
Two or More,1,4,22,Yale University
Unknown,0,1,9,Yale University
White,10,32,196,Yale University
Total,15,44,303,Yale University
Am. Ind./AN,0,1,0,Youngstown State University
Asian,0,0,1,Youngstown State University
Black,5,7,4,Youngstown State University
Hispanic,0,1,2,Youngstown State University
Nat. Haw./PI,0,0,0,Youngstown State University
N-R Alien,1,1,6,Youngstown State University
Two or More,0,0,0,Youngstown State University
Unknown,1,0,2,Youngstown State University
White,8,23,73,Youngstown State University
Total,15,33,88,Youngstown State University
