,Basketball,Baseball,CC/Track,Football,Other,School
White,1,26,21,41,1,Southeastern Louisiana University
Total,14,34,40,110,8,Southeastern Louisiana University
Am. Ind./AN,0,0,0,0,0,Southern Illinois University Edwardsville
Asian,0,0,1,0,2,Southern Illinois University Edwardsville
Black,10,0,8,0,1,Southern Illinois University Edwardsville
Hispanic,0,1,0,0,0,Southern Illinois University Edwardsville
Nat. Haw./PI,0,0,0,0,0,Southern Illinois University Edwardsville
N-R Alien,0,0,0,0,6,Southern Illinois University Edwardsville
Two or More,0,0,2,0,5,Southern Illinois University Edwardsville
Unknown,0,1,0,0,1,Southern Illinois University Edwardsville
White,2,31,4,0,40,Southern Illinois University Edwardsville
Total,12,33,15,0,55,Southern Illinois University Edwardsville
Am. Ind./AN,0,0,0,0,0,Southern Illinois University at Carbondale
Asian,0,0,0,0,0,Southern Illinois University at Carbondale
Black,8,0,6,41,1,Southern Illinois University at Carbondale
Hispanic,1,4,3,4,0,Southern Illinois University at Carbondale
Nat. Haw./PI,0,0,0,0,0,Southern Illinois University at Carbondale
N-R Alien,2,0,2,1,15,Southern Illinois University at Carbondale
Two or More,0,0,0,3,0,Southern Illinois University at Carbondale
Unknown,0,0,0,0,0,Southern Illinois University at Carbondale
White,6,27,15,36,0,Southern Illinois University at Carbondale
Total,17,31,26,85,16,Southern Illinois University at Carbondale
Am. Ind./AN,0,0,0,0,1,Southern Methodist University
Asian,0,0,0,1,0,Southern Methodist University
Black,9,0,0,49,1,Southern Methodist University
Hispanic,0,0,0,3,2,Southern Methodist University
Nat. Haw./PI,0,0,0,0,0,Southern Methodist University
N-R Alien,1,0,0,0,14,Southern Methodist University
Two or More,1,0,0,3,0,Southern Methodist University
Unknown,0,0,0,0,0,Southern Methodist University
White,0,0,0,25,10,Southern Methodist University
Total,11,0,0,81,28,Southern Methodist University
Am. Ind./AN,0,0,0,0,0,Southern University Baton Rouge
Asian,0,0,0,0,0,Southern University Baton Rouge
Black,12,12,26,71,0,Southern University Baton Rouge
Hispanic,0,8,0,0,0,Southern University Baton Rouge
Nat. Haw./PI,0,0,0,0,0,Southern University Baton Rouge
N-R Alien,0,0,1,0,0,Southern University Baton Rouge
Two or More,0,0,0,0,0,Southern University Baton Rouge
Unknown,0,0,0,0,0,Southern University Baton Rouge
White,0,4,1,3,0,Southern University Baton Rouge
Total,12,24,28,74,0,Southern University Baton Rouge
Am. Ind./AN,0,0,1,0,0,Southern Utah University
Asian,0,0,0,1,0,Southern Utah University
Black,4,0,2,18,0,Southern Utah University
Hispanic,0,0,0,0,0,Southern Utah University
Nat. Haw./PI,0,0,0,10,0,Southern Utah University
N-R Alien,0,0,2,2,1,Southern Utah University
Two or More,0,0,0,7,0,Southern Utah University
Unknown,1,0,5,3,0,Southern Utah University
White,10,0,26,38,12,Southern Utah University
Total,15,0,36,79,13,Southern Utah University
Am. Ind./AN,0,0,0,0,1,St. Bonaventure University
Asian,0,0,0,0,0,St. Bonaventure University
Black,5,0,0,0,1,St. Bonaventure University
Hispanic,0,0,0,0,3,St. Bonaventure University
Nat. Haw./PI,0,0,0,0,0,St. Bonaventure University
N-R Alien,5,1,0,0,13,St. Bonaventure University
Two or More,0,0,0,0,0,St. Bonaventure University
Unknown,3,6,1,0,4,St. Bonaventure University
White,0,13,9,0,27,St. Bonaventure University
Total,13,20,10,0,49,St. Bonaventure University
Am. Ind./AN,0,0,0,0,0,St. Francis College Brooklyn
Asian,0,0,0,0,0,St. Francis College Brooklyn
Black,5,0,4,0,3,St. Francis College Brooklyn
Hispanic,0,0,1,0,3,St. Francis College Brooklyn
Nat. Haw./PI,0,0,0,0,0,St. Francis College Brooklyn
N-R Alien,3,0,4,0,34,St. Francis College Brooklyn
Two or More,2,0,0,0,2,St. Francis College Brooklyn
Unknown,2,0,0,0,1,St. Francis College Brooklyn
White,1,0,2,0,10,St. Francis College Brooklyn
Total,13,0,11,0,53,St. Francis College Brooklyn
Am. Ind./AN,0,0,0,0,0,St. John's University (New York)
Asian,0,0,0,0,0,St. John's University (New York)
Black,8,0,0,0,4,St. John's University (New York)
Hispanic,0,2,0,0,4,St. John's University (New York)
Nat. Haw./PI,0,0,0,0,0,St. John's University (New York)
N-R Alien,5,0,0,0,19,St. John's University (New York)
Two or More,0,1,0,0,2,St. John's University (New York)
Unknown,0,0,0,0,0,St. John's University (New York)
White,1,21,0,0,40,St. John's University (New York)
Total,14,24,0,0,69,St. John's University (New York)
Am. Ind./AN,0,1,0,0,1,Stanford University
Asian,0,1,0,1,7,Stanford University
Black,5,0,1,30,6,Stanford University
Hispanic,0,5,2,7,11,Stanford University
Nat. Haw./PI,0,0,0,1,0,Stanford University
N-R Alien,1,0,3,0,4,Stanford University
Two or More,4,1,1,18,13,Stanford University
Unknown,0,0,0,0,1,Stanford University
White,8,12,23,53,141,Stanford University
Total,18,20,30,110,184,Stanford University
Am. Ind./AN,0,0,0,0,0,Stephen F. Austin State University
Asian,0,0,0,0,0,Stephen F. Austin State University
Black,7,1,15,55,0,Stephen F. Austin State University
Hispanic,0,2,5,0,0,Stephen F. Austin State University
Nat. Haw./PI,0,0,0,1,0,Stephen F. Austin State University
N-R Alien,1,0,0,0,1,Stephen F. Austin State University
Two or More,0,0,0,0,0,Stephen F. Austin State University
Unknown,0,0,0,0,0,Stephen F. Austin State University
White,4,20,14,21,8,Stephen F. Austin State University
Total,12,23,34,77,9,Stephen F. Austin State University
Am. Ind./AN,0,0,1,2,0,Stetson University
Asian,0,0,0,1,0,Stetson University
Black,7,1,0,33,3,Stetson University
Hispanic,0,2,0,8,11,Stetson University
Nat. Haw./PI,0,0,0,0,0,Stetson University
N-R Alien,0,0,0,0,7,Stetson University
Two or More,2,0,1,10,0,Stetson University
Unknown,0,31,0,2,0,Stetson University
White,7,0,9,79,28,Stetson University
Total,16,34,11,135,49,Stetson University
Am. Ind./AN,0,0,0,0,0,Stony Brook University
Asian,0,0,1,1,4,Stony Brook University
Black,3,0,3,35,2,Stony Brook University
Hispanic,0,4,4,5,13,Stony Brook University
Nat. Haw./PI,0,0,0,0,0,Stony Brook University
N-R Alien,1,0,1,0,19,Stony Brook University
Two or More,0,1,1,3,0,Stony Brook University
Unknown,7,3,4,32,12,Stony Brook University
White,3,14,27,31,41,Stony Brook University
Total,14,22,41,107,91,Stony Brook University
Am. Ind./AN,0,0,0,0,0,Syracuse University
Asian,0,0,0,0,0,Syracuse University
Black,8,0,2,50,1,Syracuse University
Hispanic,1,0,2,5,3,Syracuse University
Nat. Haw./PI,0,0,0,0,0,Syracuse University
N-R Alien,3,0,0,0,9,Syracuse University
Two or More,0,0,0,2,0,Syracuse University
Unknown,0,0,0,4,3,Syracuse University
White,1,0,14,22,44,Syracuse University
Total,13,0,18,83,60,Syracuse University
Am. Ind./AN,0,0,0,0,0,Temple University
Asian,0,1,1,0,0,Temple University
Black,9,1,2,58,2,Temple University
Hispanic,0,0,0,1,0,Temple University
Nat. Haw./PI,0,0,0,0,0,Temple University
N-R Alien,0,0,0,0,8,Temple University
Two or More,0,1,1,1,0,Temple University
Unknown,0,0,0,1,0,Temple University
White,3,24,7,26,38,Temple University
Total,12,27,11,87,48,Temple University
Am. Ind./AN,0,0,0,0,0,Tennessee State University
Asian,0,0,0,0,0,Tennessee State University
Black,12,0,22,69,2,Tennessee State University
Hispanic,0,0,0,0,0,Tennessee State University
Nat. Haw./PI,0,0,0,0,0,Tennessee State University
N-R Alien,0,0,0,0,0,Tennessee State University
Two or More,0,0,0,0,0,Tennessee State University
Unknown,0,0,0,1,1,Tennessee State University
White,0,0,0,1,8,Tennessee State University
Total,12,0,22,71,11,Tennessee State University
Am. Ind./AN,0,0,0,0,0,Tennessee Technological University
Asian,0,0,0,0,0,Tennessee Technological University
Black,9,0,0,36,0,Tennessee Technological University
Hispanic,1,4,0,1,0,Tennessee Technological University
Nat. Haw./PI,0,0,0,0,0,Tennessee Technological University
N-R Alien,2,0,0,0,5,Tennessee Technological University
Two or More,1,0,0,3,0,Tennessee Technological University
Unknown,0,0,0,0,0,Tennessee Technological University
White,0,29,9,40,7,Tennessee Technological University
Total,13,33,9,80,12,Tennessee Technological University
Am. Ind./AN,0,0,0,0,0,Texas A&M University-Corpus Christi
Asian,0,0,0,0,0,Texas A&M University-Corpus Christi
Black,8,3,6,0,0,Texas A&M University-Corpus Christi
Hispanic,1,6,11,0,1,Texas A&M University-Corpus Christi
Nat. Haw./PI,0,0,0,0,0,Texas A&M University-Corpus Christi
N-R Alien,2,0,3,0,7,Texas A&M University-Corpus Christi
Two or More,0,1,1,0,0,Texas A&M University-Corpus Christi
Unknown,0,0,0,0,0,Texas A&M University-Corpus Christi
White,2,21,5,0,0,Texas A&M University-Corpus Christi
Total,13,31,26,0,8,Texas A&M University-Corpus Christi
Am. Ind./AN,0,0,0,0,0,Texas A&M University College Station
Asian,0,0,0,2,2,Texas A&M University College Station
Black,8,0,17,69,0,Texas A&M University College Station
Hispanic,0,1,3,1,8,Texas A&M University College Station
Nat. Haw./PI,0,0,0,0,0,Texas A&M University College Station
N-R Alien,1,0,4,0,13,Texas A&M University College Station
Two or More,0,0,0,1,1,Texas A&M University College Station
Unknown,2,0,1,2,0,Texas A&M University College Station
White,2,26,24,24,21,Texas A&M University College Station
Total,13,27,49,99,45,Texas A&M University College Station
Am. Ind./AN,0,2,0,0,0,Texas Christian University
Asian,0,0,0,0,0,Texas Christian University
Black,11,0,9,53,0,Texas Christian University
Hispanic,0,3,0,1,1,Texas Christian University
Nat. Haw./PI,0,0,0,2,0,Texas Christian University
N-R Alien,0,1,5,0,12,Texas Christian University
Two or More,0,0,0,1,0,Texas Christian University
Unknown,1,0,0,2,1,Texas Christian University
White,1,20,3,20,19,Texas Christian University
Total,13,26,17,79,33,Texas Christian University
Am. Ind./AN,0,0,0,0,0,Texas Southern University
Asian,0,0,0,0,0,Texas Southern University
Black,11,13,26,60,4,Texas Southern University
Hispanic,0,11,4,2,1,Texas Southern University
Nat. Haw./PI,0,0,0,0,0,Texas Southern University
N-R Alien,0,0,1,0,0,Texas Southern University
Two or More,0,0,0,0,1,Texas Southern University
Unknown,0,1,0,0,1,Texas Southern University
White,0,3,1,0,0,Texas Southern University
Total,11,28,32,62,7,Texas Southern University
Am. Ind./AN,0,0,0,0,0,Texas State University
Asian,0,0,0,0,0,Texas State University
Black,10,0,13,36,0,Texas State University
Hispanic,1,2,3,1,1,Texas State University
Nat. Haw./PI,0,0,0,1,0,Texas State University
N-R Alien,0,0,0,1,4,Texas State University
Two or More,1,0,1,4,0,Texas State University
Unknown,0,0,0,5,0,Texas State University
White,1,25,2,30,3,Texas State University
Total,13,27,19,78,8,Texas State University
Am. Ind./AN,0,0,0,0,0,Texas Tech University
Asian,0,0,0,0,0,Texas Tech University
Black,5,2,8,50,0,Texas Tech University
Hispanic,0,2,3,5,0,Texas Tech University
Nat. Haw./PI,0,0,0,0,0,Texas Tech University
N-R Alien,0,0,7,1,15,Texas Tech University
Two or More,1,1,1,2,0,Texas Tech University
Unknown,1,0,0,1,0,Texas Tech University
White,2,22,9,15,5,Texas Tech University
Total,9,27,28,74,20,Texas Tech University
Am. Ind./AN,0,0,0,1,0,The Citadel
Asian,0,0,0,0,1,The Citadel
Black,7,1,8,38,3,The Citadel
Hispanic,0,1,1,4,4,The Citadel
Nat. Haw./PI,0,0,0,0,0,The Citadel
N-R Alien,1,0,0,0,4,The Citadel
Two or More,0,1,2,2,1,The Citadel
Unknown,0,0,0,0,0,The Citadel
White,4,21,24,25,15,The Citadel
Total,12,24,35,70,28,The Citadel
Am. Ind./AN,0,0,0,0,0,The Ohio State University
Asian,0,0,0,0,3,The Ohio State University
Black,8,0,5,59,6,The Ohio State University
Hispanic,0,0,2,0,5,The Ohio State University
Nat. Haw./PI,0,0,0,1,0,The Ohio State University
N-R Alien,1,0,0,1,36,The Ohio State University
Two or More,0,1,3,2,2,The Ohio State University
Unknown,0,4,0,6,6,The Ohio State University
White,2,18,22,16,153,The Ohio State University
Total,11,23,32,85,211,The Ohio State University
Am. Ind./AN,0,0,0,0,0,The University of North Carolina at Charlotte
Asian,0,0,0,0,0,The University of North Carolina at Charlotte
Black,7,3,17,29,1,The University of North Carolina at Charlotte
Hispanic,0,0,5,3,6,The University of North Carolina at Charlotte
Nat. Haw./PI,0,0,0,0,0,The University of North Carolina at Charlotte
N-R Alien,1,0,0,0,10,The University of North Carolina at Charlotte
Two or More,2,1,2,1,2,The University of North Carolina at Charlotte
Unknown,0,3,1,3,2,The University of North Carolina at Charlotte
White,1,20,18,23,21,The University of North Carolina at Charlotte
Total,11,27,43,59,42,The University of North Carolina at Charlotte
Am. Ind./AN,0,0,0,0,0,The University of North Carolina at Greensboro
Asian,0,0,0,0,0,The University of North Carolina at Greensboro
Black,8,1,0,0,5,The University of North Carolina at Greensboro
Hispanic,1,3,0,0,2,The University of North Carolina at Greensboro
Nat. Haw./PI,0,1,0,0,0,The University of North Carolina at Greensboro
N-R Alien,1,2,3,0,9,The University of North Carolina at Greensboro
Two or More,0,1,0,0,1,The University of North Carolina at Greensboro
Unknown,0,0,0,0,0,The University of North Carolina at Greensboro
White,4,16,0,0,20,The University of North Carolina at Greensboro
Total,14,24,3,0,37,The University of North Carolina at Greensboro
Am. Ind./AN,0,1,0,0,0,The University of Southern Mississippi
Asian,0,0,0,0,0,The University of Southern Mississippi
Black,11,1,11,70,0,The University of Southern Mississippi
Hispanic,0,0,0,1,0,The University of Southern Mississippi
Nat. Haw./PI,0,0,0,0,0,The University of Southern Mississippi
N-R Alien,2,0,2,0,7,The University of Southern Mississippi
Two or More,0,0,0,0,0,The University of Southern Mississippi
Unknown,0,0,0,0,0,The University of Southern Mississippi
White,0,23,3,27,11,The University of Southern Mississippi
Total,13,25,16,98,18,The University of Southern Mississippi
Am. Ind./AN,0,0,0,0,0,The University of Texas Rio Grande Valley
Asian,0,1,0,0,0,The University of Texas Rio Grande Valley
Black,9,0,4,0,0,The University of Texas Rio Grande Valley
Hispanic,1,9,6,0,2,The University of Texas Rio Grande Valley
Nat. Haw./PI,0,0,0,0,0,The University of Texas Rio Grande Valley
N-R Alien,1,2,3,0,7,The University of Texas Rio Grande Valley
Two or More,0,0,0,0,0,The University of Texas Rio Grande Valley
Unknown,0,0,0,0,0,The University of Texas Rio Grande Valley
White,2,12,1,0,3,The University of Texas Rio Grande Valley
Total,13,24,14,0,12,The University of Texas Rio Grande Valley
Am. Ind./AN,0,0,0,4,0,The University of Tulsa
Asian,0,0,0,0,0,The University of Tulsa
Black,13,0,5,38,2,The University of Tulsa
Hispanic,0,0,0,4,7,The University of Tulsa
Nat. Haw./PI,0,0,0,0,0,The University of Tulsa
N-R Alien,0,0,5,0,7,The University of Tulsa
Two or More,0,0,1,1,2,The University of Tulsa
Unknown,0,0,0,1,0,The University of Tulsa
White,2,0,14,42,22,The University of Tulsa
Total,15,0,25,90,40,The University of Tulsa
Am. Ind./AN,0,0,0,0,0,Towson University
Asian,1,1,0,0,0,Towson University
Black,9,0,0,39,1,Towson University
Hispanic,0,0,0,2,0,Towson University
Nat. Haw./PI,0,0,0,0,0,Towson University
N-R Alien,0,0,0,0,3,Towson University
Two or More,2,1,0,5,2,Towson University
Unknown,1,2,0,6,3,Towson University
White,0,17,0,17,59,Towson University
Total,13,21,0,69,68,Towson University
Am. Ind./AN,0,0,0,0,0,Troy University
Asian,0,0,0,0,0,Troy University
Black,9,1,12,61,0,Troy University
Hispanic,0,1,0,0,1,Troy University
Nat. Haw./PI,0,0,0,0,0,Troy University
N-R Alien,1,1,2,0,7,Troy University
Two or More,0,0,1,0,0,Troy University
Unknown,0,0,0,2,3,Troy University
White,3,23,12,34,9,Troy University
Total,13,26,27,97,20,Troy University
Am. Ind./AN,1,0,0,0,0,Tulane University
Asian,0,0,0,1,1,Tulane University
Black,7,1,0,46,0,Tulane University
Hispanic,1,2,0,4,0,Tulane University
Nat. Haw./PI,0,0,0,0,0,Tulane University
N-R Alien,1,0,1,1,1,Tulane University
Two or More,0,0,0,8,0,Tulane University
Unknown,0,0,0,0,0,Tulane University
White,3,16,3,24,6,Tulane University
Total,13,19,4,84,8,Tulane University
Am. Ind./AN,0,0,0,0,0,U.S. Air Force Academy
Asian,0,0,0,0,0,U.S. Air Force Academy
Black,0,0,0,0,0,U.S. Air Force Academy
Hispanic,0,0,0,0,0,U.S. Air Force Academy
Nat. Haw./PI,0,0,0,0,0,U.S. Air Force Academy
N-R Alien,0,0,0,0,0,U.S. Air Force Academy
Two or More,0,0,0,0,0,U.S. Air Force Academy
Unknown,0,0,0,0,0,U.S. Air Force Academy
White,0,0,0,0,0,U.S. Air Force Academy
Total,0,0,0,0,0,U.S. Air Force Academy
Am. Ind./AN,0,0,0,0,0,U.S. Military Academy
Asian,0,0,0,0,0,U.S. Military Academy
Black,0,0,0,0,0,U.S. Military Academy
Hispanic,0,0,0,0,0,U.S. Military Academy
Nat. Haw./PI,0,0,0,0,0,U.S. Military Academy
N-R Alien,0,0,0,0,0,U.S. Military Academy
Two or More,0,0,0,0,0,U.S. Military Academy
Unknown,0,0,0,0,0,U.S. Military Academy
White,0,0,0,0,0,U.S. Military Academy
Total,0,0,0,0,0,U.S. Military Academy
Am. Ind./AN,0,0,0,0,0,U.S. Naval Academy
Asian,0,0,0,0,0,U.S. Naval Academy
Black,0,0,0,0,0,U.S. Naval Academy
Hispanic,0,0,0,0,0,U.S. Naval Academy
Nat. Haw./PI,0,0,0,0,0,U.S. Naval Academy
N-R Alien,0,0,0,0,0,U.S. Naval Academy
Two or More,0,0,0,0,0,U.S. Naval Academy
Unknown,0,0,0,0,0,U.S. Naval Academy
White,0,0,0,0,0,U.S. Naval Academy
Total,0,0,0,0,0,U.S. Naval Academy
Am. Ind./AN,0,0,1,0,4,University at Albany
Asian,0,0,0,0,0,University at Albany
Black,6,0,28,40,1,University at Albany
Hispanic,0,2,8,6,5,University at Albany
Nat. Haw./PI,0,0,1,0,0,University at Albany
N-R Alien,6,0,1,0,12,University at Albany
Two or More,0,0,0,10,0,University at Albany
Unknown,0,3,0,4,4,University at Albany
White,3,26,23,44,47,University at Albany
Total,15,31,62,104,73,University at Albany
Am. Ind./AN,0,0,1,0,0,University at Buffalo the State University of New York
Asian,0,0,0,0,4,University at Buffalo the State University of New York
Black,12,0,11,50,5,University at Buffalo the State University of New York
Hispanic,0,3,3,2,5,University at Buffalo the State University of New York
Nat. Haw./PI,0,0,0,0,0,University at Buffalo the State University of New York
N-R Alien,0,1,0,3,16,University at Buffalo the State University of New York
Two or More,0,0,0,0,0,University at Buffalo the State University of New York
Unknown,0,0,0,0,0,University at Buffalo the State University of New York
White,3,26,33,49,56,University at Buffalo the State University of New York
Total,15,30,48,104,86,University at Buffalo the State University of New York
Am. Ind./AN,0,0,0,0,0,University of Akron
Asian,0,0,0,0,0,University of Akron
Black,9,1,12,51,1,University of Akron
Hispanic,1,1,1,0,4,University of Akron
Nat. Haw./PI,0,0,0,0,0,University of Akron
N-R Alien,0,0,1,1,7,University of Akron
Two or More,0,0,1,4,0,University of Akron
Unknown,1,1,1,1,1,University of Akron
White,2,23,22,28,20,University of Akron
Total,13,26,38,85,33,University of Akron
Am. Ind./AN,0,0,0,0,1,University of Alabama
Asian,0,0,0,1,1,University of Alabama
Black,9,0,9,67,0,University of Alabama
Hispanic,0,0,0,0,2,University of Alabama
Nat. Haw./PI,0,0,0,0,1,University of Alabama
N-R Alien,3,0,5,1,13,University of Alabama
Two or More,1,0,0,1,0,University of Alabama
Unknown,0,1,0,1,0,University of Alabama
White,0,29,11,24,32,University of Alabama
Total,13,30,25,95,50,University of Alabama
Am. Ind./AN,0,0,0,0,0,University of Alabama at Birmingham
Asian,0,1,0,0,1,University of Alabama at Birmingham
Black,10,0,0,63,7,University of Alabama at Birmingham
Hispanic,0,1,0,0,1,University of Alabama at Birmingham
Nat. Haw./PI,0,0,0,0,0,University of Alabama at Birmingham
N-R Alien,2,0,0,0,18,University of Alabama at Birmingham
Two or More,0,1,0,0,0,University of Alabama at Birmingham
Unknown,0,0,0,0,0,University of Alabama at Birmingham
White,2,24,0,23,13,University of Alabama at Birmingham
Total,14,27,0,86,40,University of Alabama at Birmingham
Am. Ind./AN,1,1,1,3,0,University of Arizona
Asian,0,0,1,2,0,University of Arizona
Black,6,2,5,54,1,University of Arizona
Hispanic,0,2,0,4,4,University of Arizona
Nat. Haw./PI,0,0,0,7,0,University of Arizona
N-R Alien,0,0,6,1,12,University of Arizona
Two or More,0,0,0,0,0,University of Arizona
Unknown,0,0,0,0,0,University of Arizona
White,4,19,6,25,25,University of Arizona
Total,11,24,19,96,42,University of Arizona
Am. Ind./AN,0,0,1,0,0,University of Arkansas Fayetteville
Asian,0,0,0,0,0,University of Arkansas Fayetteville
Black,11,0,6,55,0,University of Arkansas Fayetteville
Hispanic,0,2,0,3,2,University of Arkansas Fayetteville
Nat. Haw./PI,0,0,0,1,0,University of Arkansas Fayetteville
N-R Alien,1,0,7,2,9,University of Arkansas Fayetteville
Two or More,1,2,1,6,0,University of Arkansas Fayetteville
Unknown,0,0,0,0,0,University of Arkansas Fayetteville
White,0,23,10,24,9,University of Arkansas Fayetteville
Total,13,27,25,91,20,University of Arkansas Fayetteville
Am. Ind./AN,0,0,0,0,0,University of Arkansas Pine Bluff
Asian,0,0,0,0,0,University of Arkansas Pine Bluff
Black,10,2,4,50,1,University of Arkansas Pine Bluff
Hispanic,0,8,2,0,0,University of Arkansas Pine Bluff
Nat. Haw./PI,0,0,0,0,0,University of Arkansas Pine Bluff
N-R Alien,0,1,2,0,5,University of Arkansas Pine Bluff
Two or More,0,0,0,0,0,University of Arkansas Pine Bluff
Unknown,0,0,0,0,0,University of Arkansas Pine Bluff
White,1,9,0,2,0,University of Arkansas Pine Bluff
Total,11,20,8,52,6,University of Arkansas Pine Bluff
Am. Ind./AN,0,0,0,0,0,University of Arkansas at Little Rock
Asian,0,0,0,0,0,University of Arkansas at Little Rock
Black,9,0,9,0,0,University of Arkansas at Little Rock
Hispanic,0,1,2,0,0,University of Arkansas at Little Rock
Nat. Haw./PI,0,0,0,0,0,University of Arkansas at Little Rock
N-R Alien,2,2,2,0,6,University of Arkansas at Little Rock
Two or More,0,0,0,0,0,University of Arkansas at Little Rock
Unknown,0,0,0,0,0,University of Arkansas at Little Rock
White,2,27,7,0,3,University of Arkansas at Little Rock
Total,13,30,20,0,9,University of Arkansas at Little Rock
Am. Ind./AN,0,0,0,3,0,University of California Berkeley
Asian,0,1,0,0,12,University of California Berkeley
Black,8,1,11,48,4,University of California Berkeley
Hispanic,0,1,5,4,7,University of California Berkeley
Nat. Haw./PI,0,1,0,4,0,University of California Berkeley
N-R Alien,1,0,1,0,17,University of California Berkeley
Two or More,0,0,0,0,0,University of California Berkeley
Unknown,0,1,2,3,8,University of California Berkeley
White,4,17,13,22,54,University of California Berkeley
Total,13,22,32,84,102,University of California Berkeley
Am. Ind./AN,0,0,0,1,0,University of California Davis
Asian,0,0,2,0,0,University of California Davis
Black,6,1,5,30,1,University of California Davis
Hispanic,0,2,2,6,5,University of California Davis
Nat. Haw./PI,0,0,0,2,0,University of California Davis
N-R Alien,0,0,0,0,0,University of California Davis
Two or More,1,4,0,9,3,University of California Davis
Unknown,0,2,0,3,2,University of California Davis
White,7,17,14,34,34,University of California Davis
Total,14,26,23,85,45,University of California Davis
Am. Ind./AN,0,0,0,0,0,University of California Irvine
Asian,1,0,2,0,14,University of California Irvine
Black,6,0,8,0,4,University of California Irvine
Hispanic,0,10,5,0,9,University of California Irvine
Nat. Haw./PI,0,0,0,0,0,University of California Irvine
N-R Alien,4,0,0,0,3,University of California Irvine
Two or More,0,5,3,0,9,University of California Irvine
Unknown,0,0,0,0,0,University of California Irvine
White,5,21,12,0,58,University of California Irvine
Total,16,36,30,0,97,University of California Irvine
Am. Ind./AN,0,1,0,0,2,University of California Los Angeles
Asian,0,0,1,2,6,University of California Los Angeles
Black,8,2,5,51,2,University of California Los Angeles
Hispanic,0,1,3,5,10,University of California Los Angeles
Nat. Haw./PI,0,0,0,6,0,University of California Los Angeles
N-R Alien,0,0,3,3,13,University of California Los Angeles
Two or More,0,0,0,6,1,University of California Los Angeles
Unknown,0,0,0,1,2,University of California Los Angeles
White,4,15,16,20,42,University of California Los Angeles
Total,12,19,28,94,78,University of California Los Angeles
Am. Ind./AN,0,1,0,0,0,University of California Riverside
Asian,0,0,2,0,5,University of California Riverside
Black,6,1,13,0,4,University of California Riverside
Hispanic,1,8,7,0,12,University of California Riverside
Nat. Haw./PI,0,0,0,0,0,University of California Riverside
N-R Alien,1,0,0,0,2,University of California Riverside
Two or More,1,2,1,0,1,University of California Riverside
Unknown,0,0,1,0,0,University of California Riverside
White,4,14,5,0,8,University of California Riverside
Total,13,26,29,0,32,University of California Riverside
Am. Ind./AN,0,0,0,0,0,University of California Santa Barbara
Asian,0,1,2,0,2,University of California Santa Barbara
Black,2,2,5,0,2,University of California Santa Barbara
Hispanic,0,7,10,0,8,University of California Santa Barbara
Nat. Haw./PI,0,0,0,0,0,University of California Santa Barbara
N-R Alien,6,2,3,0,7,University of California Santa Barbara
Two or More,1,1,4,0,2,University of California Santa Barbara
Unknown,0,0,0,0,0,University of California Santa Barbara
White,5,16,23,0,60,University of California Santa Barbara
Total,14,29,47,0,81,University of California Santa Barbara
Am. Ind./AN,0,0,0,1,0,University of Central Arkansas
Asian,0,0,1,0,0,University of Central Arkansas
Black,12,1,9,41,1,University of Central Arkansas
Hispanic,0,0,1,1,0,University of Central Arkansas
Nat. Haw./PI,0,0,0,0,0,University of Central Arkansas
N-R Alien,0,0,2,0,7,University of Central Arkansas
Two or More,0,0,1,2,0,University of Central Arkansas
Unknown,0,1,0,2,2,University of Central Arkansas
White,1,24,18,22,15,University of Central Arkansas
Total,13,26,32,69,25,University of Central Arkansas
Am. Ind./AN,0,0,0,0,0,University of Central Florida
Asian,0,0,0,0,1,University of Central Florida
Black,9,0,0,52,3,University of Central Florida
Hispanic,1,3,0,0,7,University of Central Florida
Nat. Haw./PI,0,0,0,1,0,University of Central Florida
N-R Alien,0,0,0,1,15,University of Central Florida
Two or More,1,3,0,1,0,University of Central Florida
Unknown,0,0,0,1,0,University of Central Florida
White,1,23,0,22,12,University of Central Florida
Total,12,29,0,78,38,University of Central Florida
Am. Ind./AN,0,1,0,0,0,University of Cincinnati
Asian,0,0,0,0,0,University of Cincinnati
Black,12,0,14,53,5,University of Cincinnati
Hispanic,0,0,0,1,4,University of Cincinnati
Nat. Haw./PI,0,0,0,0,0,University of Cincinnati
N-R Alien,1,0,0,2,8,University of Cincinnati
Two or More,0,0,0,7,4,University of Cincinnati
Unknown,1,0,0,4,3,University of Cincinnati
White,0,24,8,27,23,University of Cincinnati
Total,14,25,22,94,47,University of Cincinnati
Am. Ind./AN,0,0,0,0,0,University of Colorado Boulder
Asian,0,0,0,1,1,University of Colorado Boulder
Black,9,0,3,40,0,University of Colorado Boulder
Hispanic,0,0,0,1,1,University of Colorado Boulder
Nat. Haw./PI,0,0,0,3,0,University of Colorado Boulder
N-R Alien,0,0,0,1,11,University of Colorado Boulder
Two or More,1,0,1,7,0,University of Colorado Boulder
Unknown,0,0,0,1,0,University of Colorado Boulder
White,2,0,20,25,7,University of Colorado Boulder
Total,12,0,24,79,20,University of Colorado Boulder
Am. Ind./AN,0,0,0,1,0,University of Connecticut
Asian,0,0,0,0,0,University of Connecticut
Black,5,2,12,37,1,University of Connecticut
Hispanic,1,1,2,5,3,University of Connecticut
Nat. Haw./PI,0,0,0,0,0,University of Connecticut
N-R Alien,4,0,0,3,10,University of Connecticut
Two or More,0,0,1,2,0,University of Connecticut
Unknown,1,0,1,4,1,University of Connecticut
White,1,24,18,21,15,University of Connecticut
