Race,Men Basketball 0,Men Baseball 0,Men CC/Track 0,Men Football 2,Men Other 0,School,Sport Category,Men Football 0,Men Other 1,Men Football 1,Men Other 2,Men Basketball 1,Men CC/Track 1,Men Baseball 1,Men Football 4,Men Other 4,Men CC/Track 3,Men Other 9,Men Football 3,Men Baseball 2,Men Baseball 7,Men Other 7
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,0,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Black,7,1,9,51,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Hispanic,0,6,0,12,1,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,0,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
N-R Alien,2,1,5,1,4,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,1,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,2,0,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
White,7,44,16,64,15,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Abilene Christian University,Men,,,,,,,,,,,,,,,
Total,16,52,30,133,20,Abilene Christian University,Men,,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Black,1,2,2,,3,Alabama A&M University,Men,4,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Hispanic,0,2,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
White,0,1,0,,1,Alabama A&M University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama A&M University,Men,,,,,,,,,,,,,,,
Total,1,5,2,,4,Alabama A&M University,Men,4,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Alabama State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Black,12,3,19,,2,Alabama State University,Men,63,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Hispanic,0,17,1,,1,Alabama State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Alabama State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
N-R Alien,1,2,0,,11,Alabama State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Alabama State University,Men,2,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Alabama State University,Men,2,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
White,0,7,0,,0,Alabama State University,Men,1,,,,,,,,,,,,,,
,,,,,,Alabama State University,Men,,,,,,,,,,,,,,,
Total,13,29,20,,14,Alabama State University,Men,68,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Alcorn State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Black,13,14,12,,4,Alcorn State University,Men,73,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Hispanic,0,10,1,,1,Alcorn State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Alcorn State University,Men,4,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
N-R Alien,1,1,0,,4,Alcorn State University,Men,1,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Two or More,0,2,0,,1,Alcorn State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Alcorn State University,Men,0,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
White,0,0,0,,0,Alcorn State University,Men,2,,,,,,,,,,,,,,
,,,,,,Alcorn State University,Men,,,,,,,,,,,,,,,
Total,14,27,13,,10,Alcorn State University,Men,80,,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,American University,Men,0,2,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Black,1,0,1,,,American University,Men,0,2,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,1,,,American University,Men,0,4,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,American University,Men,0,0,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,,American University,Men,0,4,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,,American University,Men,0,0,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Unknown,6,0,0,,,American University,Men,0,6,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
White,4,0,8,,,American University,Men,0,14,,,,,,,,,,,,,
,,,,,,American University,Men,,,,,,,,,,,,,,,
Total,13,0,10,,,American University,Men,0,33,,,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,Appalachian State University,Men,,,0,0,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Black,10,3,5,,,Appalachian State University,Men,,,50,4,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Hispanic,0,1,1,,,Appalachian State University,Men,,,1,0,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,Appalachian State University,Men,,,0,0,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,,Appalachian State University,Men,,,0,7,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Two or More,1,4,0,,,Appalachian State University,Men,,,5,1,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,,Appalachian State University,Men,,,0,0,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
White,1,19,22,,,Appalachian State University,Men,,,24,47,,,,,,,,,,,
,,,,,,Appalachian State University,Men,,,,,,,,,,,,,,,
Total,14,27,28,,,Appalachian State University,Men,,,81,61,,,,,,,,,,,
,,,,,,Arizona State University,Men,,,,,,,,,,,,,,,
Asian,1,0,1,,0,Arizona State University,Men,1,,,,,,,,,,,,,,
,,,,,,Arizona State University,Men,,,,,,,,,,,,,,,
Black,7,0,11,,6,Arizona State University,Men,50,,,,,,,,,,,,,,
,,,,,,Arizona State University,Men,,,,,,,,,,,,,,,
Hispanic,0,5,1,,1,Arizona State University,Men,2,,,,,,,,,,,,,,
,,,,,,Arizona State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Arizona State University,Men,5,,,,,,,,,,,,,,
,,,,,,Arizona State University,Men,,,,,,,,,,,,,,,
N-R Alien,3,0,0,,13,Arizona State University,Men,1,,,,,,,,,,,,,,
,,,,,,Arizona State University,Men,,,,,,,,,,,,,,,
Two or More,0,1,2,,4,Arizona State University,Men,5,,,,,,,,,,,,,,
,,,,,,Arizona State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Arizona State University,Men,1,,,,,,,,,,,,,,
,,,,,,Arizona State University,Men,,,,,,,,,,,,,,,
White,2,21,7,,23,Arizona State University,Men,19,,,,,,,,,,,,,,
,,,,,,Arizona State University,Men,,,,,,,,,,,,,,,
Total,13,27,22,,47,Arizona State University,Men,84,,,,,,,,,,,,,,
,,,,,,Arkansas State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Arkansas State University,Men,0,,,,,,,,,,,,,,
,,,,,,Arkansas State University,Men,,,,,,,,,,,,,,,
Black,10,1,4,,0,Arkansas State University,Men,48,,,,,,,,,,,,,,
,,,,,,Arkansas State University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,2,,0,Arkansas State University,Men,0,,,,,,,,,,,,,,
,,,,,,Arkansas State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Arkansas State University,Men,0,,,,,,,,,,,,,,
,,,,,,Arkansas State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,1,3,,3,Arkansas State University,Men,1,,,,,,,,,,,,,,
,,,,,,Arkansas State University,Men,,,,,,,,,,,,,,,
Two or More,0,0,1,,0,Arkansas State University,Men,5,,,,,,,,,,,,,,
,,,,,,Arkansas State University,Men,,,,,,,,,,,,,,,
Unknown,0,2,2,,0,Arkansas State University,Men,1,,,,,,,,,,,,,,
,,,,,,Arkansas State University,Men,,,,,,,,,,,,,,,
White,2,25,14,,6,Arkansas State University,Men,16,,,,,,,,,,,,,,
,,,,,,Arkansas State University,Men,,,,,,,,,,,,,,,
Total,12,29,26,,9,Arkansas State University,Men,71,,,,,,,,,,,,,,
,,,,,,Auburn University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Auburn University,Men,,,0,,,,,,,,,,,,
,,,,,,Auburn University,Men,,,,,,,,,,,,,,,
Black,9,3,9,,0,Auburn University,Men,,,65,,,,,,,,,,,,
,,,,,,Auburn University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,3,,0,Auburn University,Men,,,0,,,,,,,,,,,,
,,,,,,Auburn University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Auburn University,Men,,,0,,,,,,,,,,,,
,,,,,,Auburn University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,2,,16,Auburn University,Men,,,0,,,,,,,,,,,,
,,,,,,Auburn University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Auburn University,Men,,,0,,,,,,,,,,,,
,,,,,,Auburn University,Men,,,,,,,,,,,,,,,
Unknown,0,1,2,,0,Auburn University,Men,,,5,,,,,,,,,,,,
,,,,,,Auburn University,Men,,,,,,,,,,,,,,,
White,0,23,20,,27,Auburn University,Men,,,15,,,,,,,,,,,,
,,,,,,Auburn University,Men,,,,,,,,,,,,,,,
Total,11,27,36,,43,Auburn University,Men,,,86,,,,,,,,,,,,
,,,,,,Austin Peay State University,Men,,,,,,,,,,,,,,,
Asian,0,0,1,,0,Austin Peay State University,Men,0,,,,,,,,,,,,,,
,,,,,,Austin Peay State University,Men,,,,,,,,,,,,,,,
Black,9,0,1,,0,Austin Peay State University,Men,50,,,,,,,,,,,,,,
,,,,,,Austin Peay State University,Men,,,,,,,,,,,,,,,
Hispanic,0,3,0,,0,Austin Peay State University,Men,0,,,,,,,,,,,,,,
,,,,,,Austin Peay State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Austin Peay State University,Men,2,,,,,,,,,,,,,,
,,,,,,Austin Peay State University,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,2,,10,Austin Peay State University,Men,0,,,,,,,,,,,,,,
,,,,,,Austin Peay State University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Austin Peay State University,Men,0,,,,,,,,,,,,,,
,,,,,,Austin Peay State University,Men,,,,,,,,,,,,,,,
Unknown,0,2,0,,0,Austin Peay State University,Men,0,,,,,,,,,,,,,,
,,,,,,Austin Peay State University,Men,,,,,,,,,,,,,,,
White,3,19,6,,5,Austin Peay State University,Men,32,,,,,,,,,,,,,,
,,,,,,Austin Peay State University,Men,,,,,,,,,,,,,,,
Total,13,24,10,,15,Austin Peay State University,Men,84,,,,,,,,,,,,,,
,,,,,,Ball State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Ball State University,Men,0,,,,,,,,,,,,,,
,,,,,,Ball State University,Men,,,,,,,,,,,,,,,
Black,0,0,0,,0,Ball State University,Men,0,,,,,,,,,,,,,,
,,,,,,Ball State University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,Ball State University,Men,0,,,,,,,,,,,,,,
,,,,,,Ball State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Ball State University,Men,0,,,,,,,,,,,,,,
,,,,,,Ball State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Ball State University,Men,0,,,,,,,,,,,,,,
,,,,,,Ball State University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Ball State University,Men,0,,,,,,,,,,,,,,
,,,,,,Ball State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Ball State University,Men,0,,,,,,,,,,,,,,
,,,,,,Ball State University,Men,,,,,,,,,,,,,,,
White,0,0,0,,0,Ball State University,Men,0,,,,,,,,,,,,,,
,,,,,,Ball State University,Men,,,,,,,,,,,,,,,
Total,0,0,0,,0,Ball State University,Men,0,,,,,,,,,,,,,,
,,,,,,Baylor University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Baylor University,Men,,,0,,,,,,,,,,,,
,,,,,,Baylor University,Men,,,,,,,,,,,,,,,
Black,5,0,12,,0,Baylor University,Men,,,51,,,,,,,,,,,,
,,,,,,Baylor University,Men,,,,,,,,,,,,,,,
Hispanic,0,2,0,,0,Baylor University,Men,,,2,,,,,,,,,,,,
,,,,,,Baylor University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Baylor University,Men,,,0,,,,,,,,,,,,
,,,,,,Baylor University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,2,,16,Baylor University,Men,,,4,,,,,,,,,,,,
,,,,,,Baylor University,Men,,,,,,,,,,,,,,,
Two or More,3,2,2,,0,Baylor University,Men,,,3,,,,,,,,,,,,
,,,,,,Baylor University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Baylor University,Men,,,0,,,,,,,,,,,,
,,,,,,Baylor University,Men,,,,,,,,,,,,,,,
White,2,21,7,,4,Baylor University,Men,,,18,,,,,,,,,,,,
,,,,,,Baylor University,Men,,,,,,,,,,,,,,,
Total,12,25,23,,20,Baylor University,Men,,,79,,,,,,,,,,,,
,,,,,,Belmont University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,1,Belmont University,Men,0,,,,,,,,,,,,,,
,,,,,,Belmont University,Men,,,,,,,,,,,,,,,
Black,2,0,1,,1,Belmont University,Men,0,,,,,,,,,,,,,,
,,,,,,Belmont University,Men,,,,,,,,,,,,,,,
Hispanic,1,1,0,,4,Belmont University,Men,0,,,,,,,,,,,,,,
,,,,,,Belmont University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Belmont University,Men,0,,,,,,,,,,,,,,
,,,,,,Belmont University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,4,,13,Belmont University,Men,0,,,,,,,,,,,,,,
,,,,,,Belmont University,Men,,,,,,,,,,,,,,,
Two or More,0,1,0,,0,Belmont University,Men,0,,,,,,,,,,,,,,
,,,,,,Belmont University,Men,,,,,,,,,,,,,,,
Unknown,0,1,1,,0,Belmont University,Men,0,,,,,,,,,,,,,,
,,,,,,Belmont University,Men,,,,,,,,,,,,,,,
White,10,22,12,,10,Belmont University,Men,0,,,,,,,,,,,,,,
,,,,,,Belmont University,Men,,,,,,,,,,,,,,,
Total,13,25,18,,29,Belmont University,Men,0,,,,,,,,,,,,,,
,,,,,,Bethune-Cookman University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Bethune-Cookman University,Men,0,,,,,,,,,,,,,,
,,,,,,Bethune-Cookman University,Men,,,,,,,,,,,,,,,
Black,12,4,33,,3,Bethune-Cookman University,Men,111,,,,,,,,,,,,,,
,,,,,,Bethune-Cookman University,Men,,,,,,,,,,,,,,,
Hispanic,0,11,0,,2,Bethune-Cookman University,Men,0,,,,,,,,,,,,,,
,,,,,,Bethune-Cookman University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Bethune-Cookman University,Men,0,,,,,,,,,,,,,,
,,,,,,Bethune-Cookman University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,1,,3,Bethune-Cookman University,Men,0,,,,,,,,,,,,,,
,,,,,,Bethune-Cookman University,Men,,,,,,,,,,,,,,,
Two or More,0,1,0,,0,Bethune-Cookman University,Men,0,,,,,,,,,,,,,,
,,,,,,Bethune-Cookman University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Bethune-Cookman University,Men,0,,,,,,,,,,,,,,
,,,,,,Bethune-Cookman University,Men,,,,,,,,,,,,,,,
White,0,21,0,,0,Bethune-Cookman University,Men,5,,,,,,,,,,,,,,
,,,,,,Bethune-Cookman University,Men,,,,,,,,,,,,,,,
Total,12,37,34,,8,Bethune-Cookman University,Men,116,,,,,,,,,,,,,,
,,,,,,Binghamton University,Men,,,,,,,,,,,,,,,
Asian,0,0,1,,3,Binghamton University,Men,0,,,,,,,,,,,,,,
,,,,,,Binghamton University,Men,,,,,,,,,,,,,,,
Black,9,1,2,,2,Binghamton University,Men,0,,,,,,,,,,,,,,
,,,,,,Binghamton University,Men,,,,,,,,,,,,,,,
Hispanic,0,1,1,,3,Binghamton University,Men,0,,,,,,,,,,,,,,
,,,,,,Binghamton University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Binghamton University,Men,0,,,,,,,,,,,,,,
,,,,,,Binghamton University,Men,,,,,,,,,,,,,,,
N-R Alien,2,1,0,,17,Binghamton University,Men,0,,,,,,,,,,,,,,
,,,,,,Binghamton University,Men,,,,,,,,,,,,,,,
Two or More,0,1,1,,4,Binghamton University,Men,0,,,,,,,,,,,,,,
,,,,,,Binghamton University,Men,,,,,,,,,,,,,,,
Unknown,1,1,1,,7,Binghamton University,Men,0,,,,,,,,,,,,,,
,,,,,,Binghamton University,Men,,,,,,,,,,,,,,,
White,1,22,26,,70,Binghamton University,Men,0,,,,,,,,,,,,,,
,,,,,,Binghamton University,Men,,,,,,,,,,,,,,,
Total,13,27,32,,106,Binghamton University,Men,0,,,,,,,,,,,,,,
,,,,,,Boise State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,Boise State University,Men,,2,1,,,,,,,,,,,,
,,,,,,Boise State University,Men,,,,,,,,,,,,,,,
Black,6,0,5,,,Boise State University,Men,,0,31,,,,,,,,,,,,
,,,,,,Boise State University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,,Boise State University,Men,,4,5,,,,,,,,,,,,
,,,,,,Boise State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,Boise State University,Men,,0,3,,,,,,,,,,,,
,,,,,,Boise State University,Men,,,,,,,,,,,,,,,
N-R Alien,4,0,3,,,Boise State University,Men,,3,4,,,,,,,,,,,,
,,,,,,Boise State University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,,Boise State University,Men,,2,1,,,,,,,,,,,,
,,,,,,Boise State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,,Boise State University,Men,,0,0,,,,,,,,,,,,
,,,,,,Boise State University,Men,,,,,,,,,,,,,,,
White,3,0,14,,,Boise State University,Men,,30,33,,,,,,,,,,,,
,,,,,,Boise State University,Men,,,,,,,,,,,,,,,
Total,13,0,22,,,Boise State University,Men,,42,79,,,,,,,,,,,,
,,,,,,Boston College,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Boston College,Men,0,,,,,,,,,,,,,,
,,,,,,Boston College,Men,,,,,,,,,,,,,,,
Black,4,1,0,,0,Boston College,Men,23,,,,,,,,,,,,,,
,,,,,,Boston College,Men,,,,,,,,,,,,,,,
Hispanic,1,0,0,,0,Boston College,Men,2,,,,,,,,,,,,,,
,,,,,,Boston College,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Boston College,Men,1,,,,,,,,,,,,,,
,,,,,,Boston College,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,12,Boston College,Men,3,,,,,,,,,,,,,,
,,,,,,Boston College,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,1,Boston College,Men,2,,,,,,,,,,,,,,
,,,,,,Boston College,Men,,,,,,,,,,,,,,,
Unknown,2,5,0,,5,Boston College,Men,18,,,,,,,,,,,,,,
,,,,,,Boston College,Men,,,,,,,,,,,,,,,
White,4,15,0,,20,Boston College,Men,34,,,,,,,,,,,,,,
,,,,,,Boston College,Men,,,,,,,,,,,,,,,
Total,13,21,0,,38,Boston College,Men,83,,,,,,,,,,,,,,
,,,,,,Boston University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,Boston University,Men,0,,,1,,,,,,,,,,,
,,,,,,Boston University,Men,,,,,,,,,,,,,,,
Black,10,0,4,,,Boston University,Men,0,,,1,,,,,,,,,,,
,,,,,,Boston University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,,Boston University,Men,0,,,5,,,,,,,,,,,
,,,,,,Boston University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,Boston University,Men,0,,,0,,,,,,,,,,,
,,,,,,Boston University,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,2,,,Boston University,Men,0,,,27,,,,,,,,,,,
,,,,,,Boston University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,,Boston University,Men,0,,,0,,,,,,,,,,,
,,,,,,Boston University,Men,,,,,,,,,,,,,,,
Unknown,2,0,0,,,Boston University,Men,0,,,9,,,,,,,,,,,
,,,,,,Boston University,Men,,,,,,,,,,,,,,,
White,0,0,10,,,Boston University,Men,0,,,70,,,,,,,,,,,
,,,,,,Boston University,Men,,,,,,,,,,,,,,,
Total,13,0,16,,,Boston University,Men,0,,,115,,,,,,,,,,,
,,,,,,Bowling Green State University,Men,,,,,,,,,,,,,,,
Asian,,0,0,,0,Bowling Green State University,Men,,,0,,0,,,,,,,,,,
,,,,,,Bowling Green State University,Men,,,,,,,,,,,,,,,
Black,,0,0,,1,Bowling Green State University,Men,,,43,,9,,,,,,,,,,
,,,,,,Bowling Green State University,Men,,,,,,,,,,,,,,,
Hispanic,,1,0,,1,Bowling Green State University,Men,,,0,,1,,,,,,,,,,
,,,,,,Bowling Green State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,,0,0,,0,Bowling Green State University,Men,,,1,,0,,,,,,,,,,
,,,,,,Bowling Green State University,Men,,,,,,,,,,,,,,,
N-R Alien,,0,0,,13,Bowling Green State University,Men,,,0,,0,,,,,,,,,,
,,,,,,Bowling Green State University,Men,,,,,,,,,,,,,,,
Two or More,,1,0,,1,Bowling Green State University,Men,,,6,,0,,,,,,,,,,
,,,,,,Bowling Green State University,Men,,,,,,,,,,,,,,,
Unknown,,0,0,,3,Bowling Green State University,Men,,,2,,1,,,,,,,,,,
,,,,,,Bowling Green State University,Men,,,,,,,,,,,,,,,
White,,23,0,,39,Bowling Green State University,Men,,,34,,1,,,,,,,,,,
,,,,,,Bowling Green State University,Men,,,,,,,,,,,,,,,
Total,,25,0,,58,Bowling Green State University,Men,,,87,,13,,,,,,,,,,
,,,,,,Bradley University,Men,,,,,,,,,,,,,,,
Asian,1,0,0,,2,Bradley University,Men,0,,,,,,,,,,,,,,
,,,,,,Bradley University,Men,,,,,,,,,,,,,,,
Black,9,0,0,,1,Bradley University,Men,0,,,,,,,,,,,,,,
,,,,,,Bradley University,Men,,,,,,,,,,,,,,,
Hispanic,0,1,2,,3,Bradley University,Men,0,,,,,,,,,,,,,,
,,,,,,Bradley University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Bradley University,Men,0,,,,,,,,,,,,,,
,,,,,,Bradley University,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,0,,9,Bradley University,Men,0,,,,,,,,,,,,,,
,,,,,,Bradley University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,1,Bradley University,Men,0,,,,,,,,,,,,,,
,,,,,,Bradley University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Bradley University,Men,0,,,,,,,,,,,,,,
,,,,,,Bradley University,Men,,,,,,,,,,,,,,,
White,2,26,13,,18,Bradley University,Men,0,,,,,,,,,,,,,,
,,,,,,Bradley University,Men,,,,,,,,,,,,,,,
Total,13,27,15,,34,Bradley University,Men,0,,,,,,,,,,,,,,
,,,,,,Brigham Young University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,Brigham Young University,Men,0,3,,,,,,,,,,,,,
,,,,,,Brigham Young University,Men,,,,,,,,,,,,,,,
Black,3,1,5,,,Brigham Young University,Men,14,0,,,,,,,,,,,,,
,,,,,,Brigham Young University,Men,,,,,,,,,,,,,,,
Hispanic,0,2,1,,,Brigham Young University,Men,1,7,,,,,,,,,,,,,
,,,,,,Brigham Young University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,Brigham Young University,Men,30,4,,,,,,,,,,,,,
,,,,,,Brigham Young University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,1,,,Brigham Young University,Men,0,2,,,,,,,,,,,,,
,,,,,,Brigham Young University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,,Brigham Young University,Men,13,0,,,,,,,,,,,,,
,,,,,,Brigham Young University,Men,,,,,,,,,,,,,,,
Unknown,0,1,0,,,Brigham Young University,Men,0,0,,,,,,,,,,,,,
,,,,,,Brigham Young University,Men,,,,,,,,,,,,,,,
White,12,22,41,,,Brigham Young University,Men,37,46,,,,,,,,,,,,,
,,,,,,Brigham Young University,Men,,,,,,,,,,,,,,,
Total,15,26,48,,,Brigham Young University,Men,95,63,,,,,,,,,,,,,
,,,,,,Brown University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Brown University,Men,0,,,,,,,,,,,,,,
,,,,,,Brown University,Men,,,,,,,,,,,,,,,
Black,0,0,0,,0,Brown University,Men,0,,,,,,,,,,,,,,
,,,,,,Brown University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,Brown University,Men,0,,,,,,,,,,,,,,
,,,,,,Brown University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Brown University,Men,0,,,,,,,,,,,,,,
,,,,,,Brown University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Brown University,Men,0,,,,,,,,,,,,,,
