Race,"All Students, Men 2017-18 N","All Students 2017-18, Men %","All Students, Men 4-Class N","All Students, Men %","All Studens, Women 2017-18 N","All Students, Women 2017-2018 %","All Students, Women 4-Class N","All Students, Women 4-Class %","All Students, Total 2017-18 N","All Students, Total 2017-18 %","All Students, Total 4-Class N","All Students, Total 4-Class %",Source_All,School_All,Student-Athletes Men 17-18 N,Student-Athletes Men 17-18 %,Student-Athletes Men 4-Class N,Student-Athletes  Men 4-Class %,Student-Athletes Men GSR N,Student-Athletes Men GSR %,Student-Athletes Women 17-18 N,Student-Athletes Women 17-18 %,Student-Athletes Women 4-Class N,Student-Athletes Women 4-Class %,Student-Athletes Women GSR N,Student-Athletes Women GSR %,Student-Athletes Total 17-18 N,Student-Athletes Total 17-18 %,Student-Athletes Total 4-Class N,Student-Athletes Total 4-Class %,Student-Athletes Total GSR N,Student-Athletes Total GSR %,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Total,2387,65,8728,66,1920,72,6950,73,4307,68,15678,69,All Students,Iowa State University,27,30,130,46,143,65,35,74,139,76,129,91,62,55,269,61,272,77,Student-Athletes,Iowa State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,374,39,1599,35,539,52,2329,48,913,47,3928,43,All Students,Jackson State University,23,26,113,42,141,48,28,57,106,60,114,75,51,43,219,51,255,60,Student-Athletes,Jackson State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,556,26,2023,25,696,34,2472,36,1252,31,4495,31,All Students,Jacksonville State University,26,42,124,45,139,60,32,53,117,53,98,79,58,48,241,49,237,68,Student-Athletes,Jacksonville State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,307,32,1156,36,274,45,948,44,581,38,2104,39,All Students,Jacksonville University,27,48,89,46,160,69,34,79,121,65,109,91,61,66,210,57,269,78,Student-Athletes,Jacksonville University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1465,79,5323,79,2402,83,9366,83,3867,81,14689,81,All Students,James Madison University,35,69,134,60,146,70,44,93,155,85,156,92,79,82,289,74,302,81,Student-Athletes,James Madison University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1632,57,6173,57,1619,63,6441,61,3251,60,12614,59,All Students,Kansas State University,40,48,154,48,159,70,49,80,223,74,224,84,89,65,377,63,383,79,Student-Athletes,Kansas State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,963,36,3430,35,1393,48,5151,46,2356,43,8581,42,All Students,Kennesaw State University,16,44,65,38,59,68,25,52,91,63,84,81,41,49,156,53,143,76,Student-Athletes,Kennesaw State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1422,48,5618,47,2299,54,9263,53,3721,52,14881,51,All Students,Kent State University,43,70,163,58,173,67,36,81,142,77,132,92,79,75,305,67,305,78,Student-Athletes,Kent State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,323,54,1441,61,447,73,1753,72,770,65,3194,67,All Students,La Salle University,30,47,125,59,103,79,34,85,156,78,134,96,64,67,281,70,237,88,Student-Athletes,La Salle University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,314,86,1268,88,277,91,1157,90,591,88,2425,89,All Students,Lafayette College,43,84,192,88,192,96,27,93,121,88,111,98,70,87,313,88,303,97,Student-Athletes,Lafayette College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,553,29,2445,28,863,38,3611,34,1416,35,6056,32,All Students,Lamar University,16,50,57,37,104,72,26,46,82,51,90,70,42,48,139,45,194,71,Student-Athletes,Lamar University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,715,83,2723,85,450,90,1936,90,1165,86,4659,87,All Students,Lehigh University,48,75,186,78,168,88,25,84,123,91,128,97,73,78,309,83,296,92,Student-Athletes,Lehigh University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1220,47,4308,44,1266,58,4661,54,2486,53,8969,49,All Students,Liberty University,27,67,137,63,154,72,27,85,87,76,96,88,54,76,224,68,250,78,Student-Athletes,Liberty University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,233,65,904,58,342,63,1249,61,575,64,2153,60,All Students,Lipscomb University,16,75,90,52,80,79,27,70,93,73,85,89,43,72,183,63,165,84,Student-Athletes,Lipscomb University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1514,56,5744,52,2620,63,10265,59,4134,60,16009,56,All Students,Long Beach State University,21,57,72,56,102,76,22,64,95,64,108,82,43,60,167,60,210,80,Student-Athletes,Long Beach State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,215,25,949,24,544,24,2223,24,759,24,3172,24,All Students,Long Island University,14,50,65,60,63,78,28,54,93,72,101,87,42,52,158,67,164,84,Student-Athletes,Long Island University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,334,54,1339,53,650,68,2549,65,984,63,3888,61,All Students,Longwood University,18,56,88,57,78,73,33,82,134,75,117,91,51,73,222,68,195,84,Student-Athletes,Longwood University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2170,66,9130,61,2415,68,10616,64,4585,67,19746,62,All Students,Louisiana State University,55,51,189,50,160,74,28,89,140,74,143,89,83,64,329,60,303,81,Student-Athletes,Louisiana State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,808,45,3450,45,661,55,2747,54,1469,50,6197,49,All Students,Louisiana Tech University,40,65,139,62,148,78,37,54,112,58,104,86,77,60,251,60,252,81,Student-Athletes,Louisiana Tech University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,523,73,2126,75,743,78,3146,78,1266,76,5272,77,All Students,Loyola Marymount University,26,54,81,60,72,92,33,76,114,78,118,90,59,66,195,71,190,91,Student-Athletes,Loyola Marymount University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,658,72,2693,72,1377,71,5343,68,2035,71,8036,70,All Students,Loyola University Chicago,14,93,57,86,63,95,23,70,94,78,87,97,37,78,151,81,150,96,Student-Athletes,Loyola University Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,434,82,1528,83,545,87,2246,84,979,84,3774,83,All Students,Loyola University Maryland,19,79,65,82,66,95,25,84,88,83,84,94,44,82,153,82,150,95,Student-Athletes,Loyola University Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,352,72,1355,73,356,76,1420,74,708,74,2775,74,All Students,Manhattan University,38,66,118,69,109,88,33,85,108,85,107,94,71,75,226,77,216,91,Student-Athletes,Manhattan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,458,78,1774,77,561,82,2255,83,1019,80,4029,80,All Students,Marist University,37,81,119,71,245,80,42,83,161,82,146,97,79,82,280,78,391,86,Student-Athletes,Marist University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,845,76,3293,78,966,80,3937,82,1811,78,7230,80,All Students,Marquette University,22,41,66,64,68,82,22,91,77,88,80,96,44,66,143,77,148,90,Student-Athletes,Marquette University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,745,38,2921,40,911,50,3646,48,1656,44,6567,45,All Students,Marshall University,39,44,130,45,140,64,33,73,143,66,139,83,72,57,273,56,279,74,Student-Athletes,Marshall University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,520,34,2263,32,702,41,3035,41,1222,38,5298,37,All Students,McNeese State University,35,63,137,55,154,66,24,67,124,56,122,78,59,64,261,55,276,71,Student-Athletes,McNeese State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,265,54,1064,58,337,64,1418,63,602,59,2482,61,All Students,Mercer University,17,47,71,52,75,79,21,81,95,73,82,96,38,66,166,64,157,88,Student-Athletes,Mercer University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1554,78,6134,78,1902,83,7577,82,3456,81,13711,80,All Students,Miami University (Ohio),57,77,211,71,200,85,45,89,151,81,145,90,102,82,362,75,345,87,Student-Athletes,Miami University (Ohio),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3210,76,12617,76,4058,79,16285,79,7268,78,28902,78,All Students,Michigan State University,65,54,226,64,219,80,55,71,200,76,177,94,120,62,426,69,396,86,Student-Athletes,Michigan State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1707,41,6216,42,1864,50,6912,49,3571,46,13128,46,All Students,Middle Tennessee State University,38,63,114,62,134,85,23,65,104,61,94,90,61,64,218,61,228,87,Student-Athletes,Middle Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1157,59,3954,57,1105,63,3891,62,2262,61,7845,59,All Students,Mississippi State University,45,62,167,48,151,77,22,82,121,74,116,92,67,69,288,59,267,84,Student-Athletes,Mississippi State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,229,22,845,20,256,29,853,30,485,26,1698,25,All Students,Mississippi Valley State University,28,43,126,33,208,33,31,58,89,56,107,62,59,51,215,42,315,43,Student-Athletes,Mississippi Valley State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1096,50,4381,51,1514,56,6198,57,2610,53,10579,54,All Students,Missouri State University,42,52,155,59,159,72,44,59,163,67,138,93,86,56,318,63,297,82,Student-Athletes,Missouri State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,406,62,1701,61,538,60,2090,64,944,61,3791,63,All Students,Monmouth University,45,76,153,61,128,85,34,82,135,78,118,98,79,78,288,69,246,91,Student-Athletes,Monmouth University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1061,44,4486,45,791,57,3284,55,1852,49,7770,49,All Students,Montana State University-Bozeman,22,77,97,58,118,79,19,74,81,78,82,93,41,76,178,67,200,85,Student-Athletes,Montana State University-Bozeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,511,43,1806,38,651,46,2416,43,1162,45,4222,41,All Students,Morehead State University,16,63,75,45,195,61,24,75,88,73,92,87,40,70,163,60,287,69,Student-Athletes,Morehead State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,591,27,2133,25,701,41,2639,37,1292,35,4772,31,All Students,Morgan State University,16,56,70,47,104,54,11,64,55,62,70,77,27,59,125,54,174,63,Student-Athletes,Morgan State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,192,65,692,68,256,66,1010,72,448,66,1702,70,All Students,Mount St. Mary's University,37,76,121,72,84,80,34,74,115,80,97,92,71,75,236,76,181,86,Student-Athletes,Mount St. Mary's University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,556,50,2332,49,832,55,3295,56,1388,53,5627,53,All Students,Murray State University,24,46,115,57,138,78,29,59,134,63,104,87,53,53,249,60,242,82,Student-Athletes,Murray State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,148,70,1948,54,581,55,987,58,729,58,2935,55,All Students,New Jersey Institute of Technology,16,31,102,58,94,68,20,60,69,67,56,84,36,47,171,61,150,74,Student-Athletes,New Jersey Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,984,37,3741,40,1123,49,4445,49,2107,43,8186,44,All Students,New Mexico State University,22,41,87,40,125,63,29,59,129,64,135,81,51,51,216,54,260,73,Student-Athletes,New Mexico State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,302,63,1128,64,435,67,1767,68,737,65,2895,66,All Students,Niagara University,19,79,102,67,97,86,28,75,118,78,93,96,47,77,220,73,190,91,Student-Athletes,Niagara University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,416,35,1670,33,628,46,2603,41,1044,42,4273,38,All Students,Nicholls State University,27,33,117,38,138,69,20,55,97,55,95,81,47,43,214,45,233,74,Student-Athletes,Nicholls State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,359,29,1540,30,485,43,2249,40,844,37,3789,36,All Students,Norfolk State University,27,52,97,43,120,51,15,60,61,57,65,74,42,55,158,49,185,59,Student-Athletes,Norfolk State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,750,35,3844,34,819,50,4248,47,1569,43,8092,41,All Students,North Carolina A&T State University,12,42,81,41,88,44,10,70,67,69,73,77,22,55,148,53,161,59,Student-Athletes,North Carolina A&T State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,472,32,1571,35,764,45,2835,44,1236,40,4406,41,All Students,North Carolina Central University,38,39,96,45,104,59,19,53,49,59,52,81,57,44,145,50,156,66,Student-Athletes,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2613,72,9607,70,2178,77,7831,76,4791,75,17438,73,All Students,North Carolina State University,43,70,186,61,179,77,42,71,142,67,117,88,85,71,328,64,296,81,Student-Athletes,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1160,52,4450,52,965,55,3773,53,2125,53,8223,53,All Students,North Dakota State University,34,50,156,62,175,77,25,68,96,69,77,95,59,58,252,64,252,82,Student-Athletes,North Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1395,82,5645,77,1472,84,5770,80,2867,83,11415,79,All Students,Northeastern University,29,66,140,69,70,89,38,82,116,76,111,93,67,75,256,72,181,91,Student-Athletes,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1204,45,4043,44,1673,52,5739,54,2877,49,9782,50,All Students,Northern Arizona University,30,40,93,47,109,76,46,72,119,71,109,94,76,59,212,60,218,85,Student-Athletes,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1413,50,5914,53,1584,52,6449,55,2997,51,12363,54,All Students,Northern Illinois University,39,82,179,69,179,86,25,76,102,79,96,95,64,80,281,73,275,89,Student-Athletes,Northern Illinois University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,820,35,3153,32,1035,40,4116,40,1855,38,7269,36,All Students,Northern Kentucky University,15,53,71,54,136,62,22,59,95,66,119,85,37,57,166,61,255,73,Student-Athletes,Northern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,440,38,1788,34,746,38,2965,38,1186,38,4753,37,All Students,Northwestern State University,23,39,124,44,154,62,29,55,109,57,110,75,52,48,233,50,264,68,Student-Athletes,Northwestern State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,922,93,3711,93,1057,95,4194,95,1979,94,7905,94,All Students,Northwestern University,48,90,181,88,175,95,54,89,197,88,184,98,102,89,378,88,359,96,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,847,40,3170,38,1372,45,5303,44,2219,43,8473,42,All Students,Oakland University,34,53,125,56,112,76,41,61,130,63,115,83,75,57,255,60,227,80,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,52,67,5607,61,34,79,6286,68,86,72,11893,65,All Students,Ohio University,44,68,169,63,171,73,31,84,176,72,139,92,75,75,345,68,310,81,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1512,55,6070,58,1599,64,6520,63,3111,60,12590,61,All Students,Oklahoma State University,47,45,164,47,177,62,20,50,81,65,89,87,67,46,245,53,266,70,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1186,47,3896,45,1327,55,5543,53,2513,51,9439,50,All Students,Old Dominion University,30,43,99,43,125,66,24,75,107,74,101,89,54,57,206,59,226,76,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,208,48,1130,40,268,57,1384,45,476,53,2514,43,All Students,Oral Roberts University,12,58,48,46,90,68,18,72,60,67,80,88,30,67,108,57,170,77,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1538,58,5860,59,1436,66,5581,63,2974,61,11441,61,All Students,Oregon State University,50,44,172,48,165,70,29,55,160,73,148,89,79,48,332,60,313,79,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3369,83,14138,83,3121,87,12770,88,6490,85,26908,86,All Students,Pennsylvania State University,67,73,266,74,271,85,42,83,174,86,169,95,109,77,440,79,440,89,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,339,75,1247,76,412,85,1688,84,751,80,2935,81,All Students,Pepperdine University,29,38,74,45,58,88,20,65,80,74,70,94,49,49,154,60,128,91,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,629,33,2304,33,697,46,2638,44,1326,40,4942,39,All Students,Portland State University,23,30,91,31,110,63,26,46,116,53,103,75,49,39,207,43,213,69,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,836,42,2615,33,657,30,2837,37,1493,37,5452,35,All Students,Prairie View A&M University,22,23,100,40,137,51,22,77,74,59,79,78,44,50,174,48,216,61,Student-Athletes,Prairie View A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,164,59,653,62,126,79,655,73,290,68,1308,67,All Students,Presbyterian College,34,65,152,64,117,86,15,93,87,74,76,92,49,73,239,67,193,89,Student-Athletes,Presbyterian College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,650,96,2592,95,593,98,2275,97,1243,97,4867,96,All Students,Princeton University,0,-,0,-,413,96,0,-,0,-,326,98,0,-,0,-,739,97,Student-Athletes,Princeton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,430,87,1826,86,559,83,2286,85,989,85,4112,86,All Students,Providence College,30,63,123,70,111,86,33,82,147,79,149,93,63,73,270,75,260,90,Student-Athletes,Providence College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3593,68,15155,67,2832,74,11384,73,6425,71,26539,70,All Students,Purdue University,40,65,169,67,185,74,29,76,120,78,119,93,69,70,289,72,304,82,Student-Athletes,Purdue University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,768,23,2680,22,778,26,2849,27,1546,25,5529,25,All Students,Purdue University Fort Wayne,19,53,71,62,104,83,22,64,93,60,90,81,41,59,164,61,194,82,Student-Athletes,Purdue University Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,499,72,2066,75,858,79,3409,78,1357,76,5475,77,All Students,Quinnipiac University,29,69,93,65,87,79,28,68,118,75,106,86,57,68,211,71,193,83,Student-Athletes,Quinnipiac University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,784,54,2951,53,1056,62,4337,61,1840,59,7288,58,All Students,Radford University,21,62,90,72,96,83,35,74,124,76,112,92,56,70,214,74,208,88,Student-Athletes,Radford University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,396,88,1482,90,346,94,1420,94,742,91,2902,92,All Students,Rice University,39,72,144,76,148,89,25,92,101,92,104,98,64,80,245,82,252,92,Student-Athletes,Rice University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,421,60,1602,61,569,70,2228,68,990,66,3830,65,All Students,Rider University,42,60,142,63,111,88,36,78,137,76,113,96,78,68,279,69,224,92,Student-Athletes,Rider University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,385,53,1607,53,279,60,1069,66,664,56,2676,58,All Students,Robert Morris University,45,62,161,54,153,67,41,78,150,75,143,87,86,70,311,64,296,77,Student-Athletes,Robert Morris University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1599,62,6199,61,685,75,2318,75,2284,66,8517,65,All Students,Rochester Institute of Technology,0,-,0,-,0,-,0,-,0,-,0,-,b.,Student-Athletes,,,,,Student-Athletes,Rochester Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2762,77,10360,75,2534,83,10027,81,5296,79,20387,78,All Students,Rutgers The State University of New Jersey New Brunswick,2762,77,10360,75,2534,83,10027,81,5296,79,20387,78,b.,Student-Athletes,Freshman,Rate,Freshman,Rate,Student-Athletes,Rutgers The State University of New Jersey New Brunswick,Freshman,Rate,Men,Women,Total,2007-08,4-Class,GSR,2007-08,4-Class,GSR,2007-08,4-Class,GSR,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%,N,%
Total,2762,77,10360,75,2534,83,10027,81,5296,79,20387,78,All Students,Rutgers The State University of New Jersey New Brunswick,53,55,229,62,192,81,49,78,204,78,182,91,102,66,433,70,374,86,Student-Athletes,Rutgers The State University of New Jersey New Brunswick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,376,68,1403,64,580,71,2246,68,956,69,3649,67,All Students,Sacred Heart University,58,62,182,63,177,72,47,74,170,76,157,90,105,68,352,69,334,81,Student-Athletes,Sacred Heart University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,145,66,562,62,258,74,910,70,403,71,1472,67,All Students,Saint Francis University,24,88,118,64,101,82,47,72,193,69,164,85,71,77,311,67,265,84,Student-Athletes,Saint Francis University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,538,77,2195,76,546,80,2237,79,1084,79,4432,78,All Students,Saint Joseph's University,36,78,145,77,134,90,31,84,119,85,115,94,67,81,264,81,249,92,Student-Athletes,Saint Joseph's University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,691,67,2551,68,935,72,3598,73,1626,70,6149,71,All Students,Saint Louis University,21,52,78,59,78,79,37,68,120,78,107,95,58,62,198,70,185,89,Student-Athletes,Saint Louis University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,228,54,925,58,334,63,1490,62,562,60,2415,60,All Students,Saint Mary's College of California,22,64,73,60,66,89,30,70,107,72,83,96,52,67,180,67,149,93,Student-Athletes,Saint Mary's College of California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,261,52,1051,49,296,54,1065,55,557,53,2116,52,All Students,Saint Peter's University,30,57,91,58,75,88,25,72,86,71,78,88,55,64,177,64,153,88,Student-Athletes,Saint Peter's University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,947,48,3616,47,1266,53,5104,55,2213,51,8720,52,All Students,Sam Houston State University,43,51,120,52,163,61,29,62,121,63,114,81,72,56,241,57,277,69,Student-Athletes,Sam Houston State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,252,71,988,67,459,68,1731,73,711,69,2719,71,All Students,Samford University,35,77,148,67,126,95,29,76,111,81,96,99,64,77,259,73,222,97,Student-Athletes,Samford University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1811,63,6233,62,2653,70,9217,69,4464,67,15450,66,All Students,San Diego State University,44,66,137,56,158,67,49,67,197,71,213,84,93,67,334,65,371,77,Student-Athletes,San Diego State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3079,57,9306,54,3346,63,10033,61,6425,60,19339,58,All Students,San Jose State University,29,45,100,44,138,57,36,61,136,63,137,78,65,54,236,55,275,67,Student-Athletes,San Jose State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,582,83,2226,85,619,85,2684,86,1201,84,4910,86,All Students,Santa Clara University,20,75,91,73,109,92,26,62,88,77,93,99,46,67,179,75,202,95,Student-Athletes,Santa Clara University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,268,24,1219,23,344,33,1464,38,612,29,2683,31,All Students,Savannah State University,26,35,92,28,91,41,8,50,35,51,42,57,34,38,127,35,133,46,Student-Athletes,Savannah State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,257,74,1085,76,479,78,1845,75,736,77,2930,75,All Students,Seattle University,25,68,48,71,82,90,32,91,86,86,117,97,57,81,134,81,199,94,Student-Athletes,Seattle University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,592,60,2139,60,664,68,2520,69,1256,64,4659,65,All Students,Seton Hall University,30,70,93,62,81,86,25,76,98,83,96,98,55,73,191,73,177,93,Student-Athletes,Seton Hall University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,318,77,1262,75,463,82,1744,78,781,80,3006,76,All Students,Siena College,27,70,116,65,99,86,42,86,143,83,127,97,69,80,259,75,226,92,Student-Athletes,Siena College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,640,30,1539,30,652,42,1737,42,1292,36,3276,36,All Students,South Carolina State University,11,91,63,49,65,65,13,54,72,63,77,74,24,71,135,56,142,70,Student-Athletes,South Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,935,53,3621,55,918,60,3662,58,1853,57,7283,57,All Students,South Dakota State University,43,56,153,63,160,72,44,68,160,77,147,90,87,62,313,70,307,81,Student-Athletes,South Dakota State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,703,36,2416,40,947,46,3541,49,1650,42,5957,45,All Students,Southeast Missouri State University,25,44,95,43,133,70,29,66,116,63,103,84,54,56,211,54,236,76,Student-Athletes,Southeast Missouri State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1066,30,3832,29,1458,40,5690,38,2524,36,9522,34,All Students,Southeastern Louisiana University,37,49,126,40,140,66,22,73,86,57,100,79,59,58,212,47,240,72,Student-Athletes,Southeastern Louisiana University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,807,51,2988,50,1026,50,4031,53,1833,50,7019,51,All Students,Southern Illinois University Edwardsville,16,69,64,61,83,78,22,73,93,73,88,94,38,71,157,68,171,87,Student-Athletes,Southern Illinois University Edwardsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1414,38,5471,42,1127,50,4207,51,2541,43,9678,46,All Students,Southern Illinois University at Carbondale,39,62,139,60,186,73,27,70,94,74,98,95,66,65,233,66,284,80,Student-Athletes,Southern Illinois University at Carbondale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,609,75,2468,74,697,82,2921,80,1306,79,5389,77,All Students,Southern Methodist University,32,53,115,60,122,72,32,78,125,75,123,91,64,66,240,68,245,82,Student-Athletes,Southern Methodist University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,520,25,2267,22,658,37,3036,32,1178,32,5303,28,All Students,Southern University Baton Rouge,26,42,123,46,110,54,27,56,99,54,80,66,53,49,222,49,190,59,Student-Athletes,Southern University Baton Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,277,47,972,38,566,55,2111,50,843,53,3083,46,All Students,Southern Utah University,18,44,83,33,97,46,32,53,109,58,94,85,50,50,192,47,191,65,Student-Athletes,Southern Utah University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,263,65,1010,63,264,68,1027,68,527,67,2037,65,All Students,St. Bonaventure University,32,63,96,61,86,86,30,83,114,77,95,96,62,73,210,70,181,91,Student-Athletes,St. Bonaventure University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,217,50,956,50,261,54,966,53,478,52,1922,52,All Students,St. Francis College Brooklyn,15,80,54,59,56,84,18,72,55,65,63,87,33,76,109,62,119,86,Student-Athletes,St. Francis College Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
