Race,Men  Basketball,Men  Baseball,Men  CC/Track,Men  Football,Men  Other,School,Sport Category
Asian,0,0,0,0,0,University of North Carolina Wilmington,Men
Black,10,2,7,0,2,University of North Carolina Wilmington,Men
Hispanic,0,2,2,0,2,University of North Carolina Wilmington,Men
Nat. Haw./PI,0,0,0,0,0,University of North Carolina Wilmington,Men
US N-R,0,1,0,0,16,University of North Carolina Wilmington,Men
Two or More,0,1,2,0,0,University of North Carolina Wilmington,Men
Unknown,0,1,1,0,0,University of North Carolina Wilmington,Men
White,3,21,4,0,27,University of North Carolina Wilmington,Men
Total,13,28,16,0,47,University of North Carolina Wilmington,Men
Am. Ind./AN,1,0,0,2,0,University of North Dakota,Men
Asian,0,0,0,0,2,University of North Dakota,Men
Black,5,0,0,22,1,University of North Dakota,Men
Hispanic,0,0,0,1,0,University of North Dakota,Men
Nat. Haw./PI,0,0,0,0,0,University of North Dakota,Men
US N-R,0,0,0,0,0,University of North Dakota,Men
Two or More,0,0,0,0,0,University of North Dakota,Men
Unknown,1,0,0,1,0,University of North Dakota,Men
White,6,0,6,52,32,University of North Dakota,Men
Total,13,0,6,78,35,University of North Dakota,Men
Am. Ind./AN,0,0,0,0,0,University of North Florida,Men
Asian,0,0,0,0,0,University of North Florida,Men
Black,6,0,1,0,4,University of North Florida,Men
Hispanic,1,2,3,0,3,University of North Florida,Men
Nat. Haw./PI,0,0,0,0,0,University of North Florida,Men
US N-R,1,0,3,0,11,University of North Florida,Men
Two or More,0,0,1,0,3,University of North Florida,Men
Unknown,0,0,0,0,1,University of North Florida,Men
White,2,22,12,0,16,University of North Florida,Men
Total,10,24,20,0,38,University of North Florida,Men
Am. Ind./AN,0,0,0,0,0,University of North Texas,Men
Asian,0,0,0,0,0,University of North Texas,Men
Black,3,0,5,17,0,University of North Texas,Men
Hispanic,0,0,0,0,0,University of North Texas,Men
Nat. Haw./PI,0,0,0,1,0,University of North Texas,Men
US N-R,2,0,3,0,1,University of North Texas,Men
Two or More,0,0,0,1,0,University of North Texas,Men
Unknown,0,0,0,0,0,University of North Texas,Men
White,0,0,1,8,1,University of North Texas,Men
Total,5,0,9,27,2,University of North Texas,Men
Am. Ind./AN,0,0,0,0,0,University of Northern Colorado,Men
Asian,0,0,1,0,0,University of Northern Colorado,Men
Black,5,0,2,25,0,University of Northern Colorado,Men
Hispanic,1,4,2,7,3,University of Northern Colorado,Men
Nat. Haw./PI,0,0,0,5,0,University of Northern Colorado,Men
US N-R,1,1,2,0,3,University of Northern Colorado,Men
Two or More,0,1,0,12,0,University of Northern Colorado,Men
Unknown,0,0,0,1,0,University of Northern Colorado,Men
White,5,17,3,31,13,University of Northern Colorado,Men
Total,12,23,10,81,19,University of Northern Colorado,Men
Am. Ind./AN,0,0,0,0,0,University of Northern Iowa,Men
Asian,0,0,0,0,0,University of Northern Iowa,Men
Black,1,0,2,25,0,University of Northern Iowa,Men
Hispanic,0,0,0,0,0,University of Northern Iowa,Men
Nat. Haw./PI,0,0,0,0,0,University of Northern Iowa,Men
US N-R,0,0,0,0,0,University of Northern Iowa,Men
Two or More,2,0,1,7,2,University of Northern Iowa,Men
Unknown,1,0,6,1,1,University of Northern Iowa,Men
White,11,0,16,47,19,University of Northern Iowa,Men
Total,15,0,25,80,22,University of Northern Iowa,Men
Am. Ind./AN,0,0,0,0,0,University of Notre Dame,Men
Asian,0,0,0,0,3,University of Notre Dame,Men
Black,5,0,1,24,5,University of Notre Dame,Men
Hispanic,0,1,1,4,8,University of Notre Dame,Men
Nat. Haw./PI,0,0,0,1,0,University of Notre Dame,Men
US N-R,0,0,0,2,16,University of Notre Dame,Men
Two or More,0,0,1,7,6,University of Notre Dame,Men
Unknown,2,0,0,1,1,University of Notre Dame,Men
White,3,16,11,23,86,University of Notre Dame,Men
Total,10,17,14,62,125,University of Notre Dame,Men
Am. Ind./AN,0,1,0,2,5,University of Oklahoma,Men
Asian,0,0,0,0,5,University of Oklahoma,Men
Black,9,3,17,52,10,University of Oklahoma,Men
Hispanic,0,5,6,7,21,University of Oklahoma,Men
Nat. Haw./PI,0,0,1,1,0,University of Oklahoma,Men
US N-R,2,0,6,0,9,University of Oklahoma,Men
Two or More,0,5,7,17,12,University of Oklahoma,Men
Unknown,0,0,0,0,1,University of Oklahoma,Men
White,4,28,13,47,92,University of Oklahoma,Men
Total,15,42,50,126,155,University of Oklahoma,Men
Am. Ind./AN,0,1,1,0,0,University of Oregon,Men
Asian,0,0,0,0,0,University of Oregon,Men
Black,6,0,6,37,0,University of Oregon,Men
Hispanic,1,3,1,4,1,University of Oregon,Men
Nat. Haw./PI,0,0,0,10,0,University of Oregon,Men
US N-R,3,2,8,2,9,University of Oregon,Men
Two or More,0,4,1,14,1,University of Oregon,Men
Unknown,0,2,0,1,0,University of Oregon,Men
White,2,17,13,6,4,University of Oregon,Men
Total,12,29,30,74,15,University of Oregon,Men
Am. Ind./AN,0,0,0,0,0,University of Pennsylvania,Men
Asian,0,0,0,0,0,University of Pennsylvania,Men
Black,0,0,0,0,0,University of Pennsylvania,Men
Hispanic,0,0,0,0,0,University of Pennsylvania,Men
Nat. Haw./PI,0,0,0,0,0,University of Pennsylvania,Men
US N-R,0,0,0,0,0,University of Pennsylvania,Men
Two or More,0,0,0,0,0,University of Pennsylvania,Men
Unknown,0,0,0,0,0,University of Pennsylvania,Men
White,0,0,0,0,0,University of Pennsylvania,Men
Total,0,0,0,0,0,University of Pennsylvania,Men
Am. Ind./AN,0,0,0,0,0,University of Pittsburgh,Men
Asian,0,0,0,1,1,University of Pittsburgh,Men
Black,9,1,5,64,4,University of Pittsburgh,Men
Hispanic,0,3,2,4,8,University of Pittsburgh,Men
Nat. Haw./PI,0,0,0,1,0,University of Pittsburgh,Men
US N-R,4,0,5,1,12,University of Pittsburgh,Men
Two or More,0,1,0,7,4,University of Pittsburgh,Men
Unknown,0,0,0,2,0,University of Pittsburgh,Men
White,0,23,8,26,30,University of Pittsburgh,Men
Total,13,28,20,106,59,University of Pittsburgh,Men
Am. Ind./AN,0,0,0,0,0,University of Portland,Men
Asian,0,2,0,0,7,University of Portland,Men
Black,5,0,1,0,0,University of Portland,Men
Hispanic,1,0,3,0,9,University of Portland,Men
Nat. Haw./PI,0,0,0,0,0,University of Portland,Men
US N-R,0,0,1,0,2,University of Portland,Men
Two or More,2,2,0,0,1,University of Portland,Men
Unknown,1,0,1,0,0,University of Portland,Men
White,5,27,16,0,15,University of Portland,Men
Total,14,31,22,0,34,University of Portland,Men
Am. Ind./AN,0,0,0,0,0,University of Rhode Island,Men
Asian,0,0,0,0,2,University of Rhode Island,Men
Black,8,0,6,33,2,University of Rhode Island,Men
Hispanic,3,1,4,6,5,University of Rhode Island,Men
Nat. Haw./PI,0,0,0,0,0,University of Rhode Island,Men
US N-R,0,0,0,0,0,University of Rhode Island,Men
Two or More,1,1,6,5,1,University of Rhode Island,Men
Unknown,0,0,0,2,0,University of Rhode Island,Men
White,1,19,18,16,10,University of Rhode Island,Men
Total,13,21,34,62,20,University of Rhode Island,Men
Am. Ind./AN,0,0,0,0,0,University of Richmond,Men
Asian,0,0,0,0,0,University of Richmond,Men
Black,3,0,0,26,0,University of Richmond,Men
Hispanic,1,2,0,5,0,University of Richmond,Men
Nat. Haw./PI,0,0,0,0,0,University of Richmond,Men
US N-R,2,0,0,2,2,University of Richmond,Men
Two or More,1,0,0,6,1,University of Richmond,Men
Unknown,0,0,0,3,1,University of Richmond,Men
White,3,15,0,31,53,University of Richmond,Men
Total,10,17,0,73,57,University of Richmond,Men
Am. Ind./AN,0,0,0,0,0,University of San Diego,Men
Asian,0,1,0,0,2,University of San Diego,Men
Black,6,0,0,0,0,University of San Diego,Men
Hispanic,1,4,0,0,6,University of San Diego,Men
Nat. Haw./PI,0,0,0,0,0,University of San Diego,Men
US N-R,3,0,0,0,13,University of San Diego,Men
Two or More,2,2,0,0,0,University of San Diego,Men
Unknown,0,0,0,0,3,University of San Diego,Men
White,1,16,0,0,12,University of San Diego,Men
Total,13,23,0,0,36,University of San Diego,Men
Am. Ind./AN,0,0,0,0,0,University of San Francisco,Men
Asian,0,3,1,0,3,University of San Francisco,Men
Black,6,2,1,0,2,University of San Francisco,Men
Hispanic,0,3,2,0,2,University of San Francisco,Men
Nat. Haw./PI,0,1,0,0,0,University of San Francisco,Men
US N-R,7,1,3,0,4,University of San Francisco,Men
Two or More,0,7,1,0,5,University of San Francisco,Men
Unknown,0,0,0,0,2,University of San Francisco,Men
White,2,37,9,0,26,University of San Francisco,Men
Total,15,54,17,0,44,University of San Francisco,Men
Am. Ind./AN,0,0,0,1,0,University of South Alabama,Men
Asian,0,0,0,0,0,University of South Alabama,Men
Black,2,0,5,45,0,University of South Alabama,Men
Hispanic,1,0,0,1,0,University of South Alabama,Men
Nat. Haw./PI,0,0,0,0,0,University of South Alabama,Men
US N-R,0,0,7,4,11,University of South Alabama,Men
Two or More,0,0,1,5,0,University of South Alabama,Men
Unknown,1,0,1,0,0,University of South Alabama,Men
White,3,25,9,9,3,University of South Alabama,Men
Total,7,25,23,65,14,University of South Alabama,Men
Am. Ind./AN,0,1,0,0,0,University of South Carolina Columbia,Men
Asian,0,0,0,0,1,University of South Carolina Columbia,Men
Black,6,3,6,48,3,University of South Carolina Columbia,Men
Hispanic,0,2,0,0,2,University of South Carolina Columbia,Men
Nat. Haw./PI,0,0,0,0,0,University of South Carolina Columbia,Men
US N-R,1,0,4,0,19,University of South Carolina Columbia,Men
Two or More,1,0,0,2,1,University of South Carolina Columbia,Men
Unknown,0,0,0,1,0,University of South Carolina Columbia,Men
White,0,19,3,15,25,University of South Carolina Columbia,Men
Total,8,25,13,66,51,University of South Carolina Columbia,Men
Am. Ind./AN,0,0,0,0,0,University of South Carolina Upstate,Men
Asian,0,0,0,0,1,University of South Carolina Upstate,Men
Black,8,0,15,0,0,University of South Carolina Upstate,Men
Hispanic,3,2,0,0,0,University of South Carolina Upstate,Men
Nat. Haw./PI,0,0,0,0,0,University of South Carolina Upstate,Men
US N-R,1,2,0,0,12,University of South Carolina Upstate,Men
Two or More,0,0,2,0,2,University of South Carolina Upstate,Men
Unknown,0,0,0,0,0,University of South Carolina Upstate,Men
White,1,21,10,0,15,University of South Carolina Upstate,Men
Total,13,25,27,0,30,University of South Carolina Upstate,Men
Am. Ind./AN,0,0,0,0,0,University of South Dakota,Men
Asian,0,0,0,0,0,University of South Dakota,Men
Black,2,0,8,34,0,University of South Dakota,Men
Hispanic,0,0,0,1,0,University of South Dakota,Men
Nat. Haw./PI,0,0,0,0,0,University of South Dakota,Men
US N-R,3,0,0,0,0,University of South Dakota,Men
Two or More,3,0,1,7,0,University of South Dakota,Men
Unknown,0,0,0,0,0,University of South Dakota,Men
White,5,0,17,41,23,University of South Dakota,Men
Total,13,0,26,83,23,University of South Dakota,Men
Am. Ind./AN,0,0,0,0,0,University of South Florida,Men
Asian,0,0,4,0,1,University of South Florida,Men
Black,9,2,13,55,6,University of South Florida,Men
Hispanic,1,8,13,3,13,University of South Florida,Men
Nat. Haw./PI,0,0,0,1,0,University of South Florida,Men
US N-R,2,1,10,2,28,University of South Florida,Men
Two or More,1,2,7,7,2,University of South Florida,Men
Unknown,0,1,2,3,0,University of South Florida,Men
White,2,32,50,25,30,University of South Florida,Men
Total,15,46,99,96,80,University of South Florida,Men
Am. Ind./AN,0,0,0,1,0,University of Southern California,Men
Asian,0,0,0,0,2,University of Southern California,Men
Black,9,0,8,38,1,University of Southern California,Men
Hispanic,1,6,0,6,3,University of Southern California,Men
Nat. Haw./PI,0,0,0,7,0,University of Southern California,Men
US N-R,1,0,3,2,16,University of Southern California,Men
Two or More,1,2,2,11,7,University of Southern California,Men
Unknown,0,1,0,12,0,University of Southern California,Men
White,0,19,0,14,33,University of Southern California,Men
Total,12,28,13,91,62,University of Southern California,Men
Am. Ind./AN,0,0,0,0,0,University of Tennessee Knoxville,Men
Asian,0,0,0,1,0,University of Tennessee Knoxville,Men
Black,2,2,2,24,0,University of Tennessee Knoxville,Men
Hispanic,0,0,0,0,0,University of Tennessee Knoxville,Men
Nat. Haw./PI,0,0,0,0,0,University of Tennessee Knoxville,Men
US N-R,1,2,2,1,4,University of Tennessee Knoxville,Men
Two or More,0,0,0,2,0,University of Tennessee Knoxville,Men
Unknown,0,0,0,0,0,University of Tennessee Knoxville,Men
White,1,11,3,3,5,University of Tennessee Knoxville,Men
Total,4,15,7,31,9,University of Tennessee Knoxville,Men
Am. Ind./AN,0,0,0,0,0,University of Tennessee at Chattanooga,Men
Asian,0,0,0,0,0,University of Tennessee at Chattanooga,Men
Black,7,0,0,60,1,University of Tennessee at Chattanooga,Men
Hispanic,0,0,0,0,6,University of Tennessee at Chattanooga,Men
Nat. Haw./PI,0,0,0,0,0,University of Tennessee at Chattanooga,Men
US N-R,0,0,0,0,0,University of Tennessee at Chattanooga,Men
Two or More,1,0,0,4,1,University of Tennessee at Chattanooga,Men
Unknown,1,0,0,0,0,University of Tennessee at Chattanooga,Men
White,3,0,10,27,30,University of Tennessee at Chattanooga,Men
Total,12,0,10,91,38,University of Tennessee at Chattanooga,Men
Am. Ind./AN,0,0,0,0,0,University of Tennessee at Martin,Men
Asian,0,0,0,1,0,University of Tennessee at Martin,Men
Black,8,0,10,74,0,University of Tennessee at Martin,Men
Hispanic,2,3,1,3,0,University of Tennessee at Martin,Men
Nat. Haw./PI,0,0,0,0,0,University of Tennessee at Martin,Men
US N-R,1,0,3,1,0,University of Tennessee at Martin,Men
Two or More,1,1,1,2,2,University of Tennessee at Martin,Men
Unknown,0,0,0,0,0,University of Tennessee at Martin,Men
White,1,17,13,23,14,University of Tennessee at Martin,Men
Total,13,21,28,104,16,University of Tennessee at Martin,Men
Am. Ind./AN,0,0,0,0,0,University of Texas at Arlington,Men
Asian,0,0,0,0,2,University of Texas at Arlington,Men
Black,9,4,13,0,0,University of Texas at Arlington,Men
Hispanic,0,3,9,0,2,University of Texas at Arlington,Men
Nat. Haw./PI,0,0,0,0,0,University of Texas at Arlington,Men
US N-R,4,0,1,0,8,University of Texas at Arlington,Men
Two or More,0,0,1,0,0,University of Texas at Arlington,Men
Unknown,0,1,0,0,0,University of Texas at Arlington,Men
White,0,20,10,0,5,University of Texas at Arlington,Men
Total,13,28,34,0,17,University of Texas at Arlington,Men
Am. Ind./AN,0,0,0,0,0,University of Texas at Austin,Men
Asian,0,0,1,0,5,University of Texas at Austin,Men
Black,8,4,13,66,1,University of Texas at Austin,Men
Hispanic,0,0,2,0,0,University of Texas at Austin,Men
Nat. Haw./PI,0,0,0,2,0,University of Texas at Austin,Men
US N-R,0,0,5,0,9,University of Texas at Austin,Men
Two or More,5,5,10,7,6,University of Texas at Austin,Men
Unknown,0,1,0,14,0,University of Texas at Austin,Men
White,0,21,21,23,40,University of Texas at Austin,Men
Total,13,31,52,112,61,University of Texas at Austin,Men
Am. Ind./AN,0,0,0,0,0,University of Texas at El Paso,Men
Asian,0,0,0,0,0,University of Texas at El Paso,Men
Black,5,0,2,44,0,University of Texas at El Paso,Men
Hispanic,1,0,1,8,0,University of Texas at El Paso,Men
Nat. Haw./PI,0,0,0,5,0,University of Texas at El Paso,Men
US N-R,2,0,13,2,6,University of Texas at El Paso,Men
Two or More,1,0,0,5,0,University of Texas at El Paso,Men
Unknown,2,0,1,0,0,University of Texas at El Paso,Men
White,1,0,0,12,2,University of Texas at El Paso,Men
Total,12,0,17,76,8,University of Texas at El Paso,Men
Am. Ind./AN,1,2,6,0,4,University of Texas at San Antonio,Men
Asian,0,0,0,0,1,University of Texas at San Antonio,Men
Black,0,0,0,0,0,University of Texas at San Antonio,Men
Hispanic,9,0,3,39,0,University of Texas at San Antonio,Men
Nat. Haw./PI,0,10,5,6,1,University of Texas at San Antonio,Men
US N-R,0,0,0,1,0,University of Texas at San Antonio,Men
Two or More,0,1,1,2,1,University of Texas at San Antonio,Men
Unknown,2,0,0,15,1,University of Texas at San Antonio,Men
White,0,15,0,8,5,University of Texas at San Antonio,Men
Total,12,28,15,71,13,University of Texas at San Antonio,Men
Am. Ind./AN,0,0,0,0,0,University of Toledo,Men
Asian,0,0,0,0,1,University of Toledo,Men
Black,8,0,2,53,0,University of Toledo,Men
Hispanic,0,0,2,0,0,University of Toledo,Men
Nat. Haw./PI,0,1,0,0,0,University of Toledo,Men
US N-R,3,0,3,1,10,University of Toledo,Men
Two or More,0,1,0,4,0,University of Toledo,Men
Unknown,0,0,0,1,0,University of Toledo,Men
White,0,41,9,35,1,University of Toledo,Men
Total,11,43,16,94,12,University of Toledo,Men
Am. Ind./AN,0,1,0,5,1,University of Utah,Men
Asian,0,2,0,1,6,University of Utah,Men
Black,3,0,0,22,1,University of Utah,Men
Hispanic,1,4,0,10,9,University of Utah,Men
Nat. Haw./PI,0,0,0,17,0,University of Utah,Men
US N-R,0,0,0,0,0,University of Utah,Men
Two or More,0,0,0,0,0,University of Utah,Men
Unknown,0,0,0,0,1,University of Utah,Men
White,9,21,0,30,83,University of Utah,Men
Total,13,28,0,85,101,University of Utah,Men
Am. Ind./AN,0,0,0,0,0,University of Vermont,Men
Asian,0,0,0,0,1,University of Vermont,Men
Black,4,0,0,0,1,University of Vermont,Men
Hispanic,0,0,0,0,2,University of Vermont,Men
Nat. Haw./PI,0,0,0,0,0,University of Vermont,Men
US N-R,2,0,0,0,32,University of Vermont,Men
Two or More,0,0,0,0,2,University of Vermont,Men
Unknown,0,0,0,0,3,University of Vermont,Men
White,2,0,0,0,40,University of Vermont,Men
Total,8,0,0,0,81,University of Vermont,Men
Am. Ind./AN,0,0,0,0,0,University of Virginia,Men
Asian,0,0,0,1,4,University of Virginia,Men
Black,4,1,5,34,6,University of Virginia,Men
Hispanic,1,1,0,0,9,University of Virginia,Men
Nat. Haw./PI,0,0,0,0,0,University of Virginia,Men
US N-R,1,0,2,0,15,University of Virginia,Men
Two or More,1,0,0,2,5,University of Virginia,Men
Unknown,0,2,0,2,2,University of Virginia,Men
White,3,17,15,13,71,University of Virginia,Men
Total,10,21,22,52,112,University of Virginia,Men
Am. Ind./AN,0,0,0,0,0,University of Washington,Men
Asian,0,1,1,1,5,University of Washington,Men
Black,5,1,5,56,4,University of Washington,Men
Hispanic,0,2,0,2,2,University of Washington,Men
Nat. Haw./PI,0,2,0,13,1,University of Washington,Men
US N-R,2,1,4,1,26,University of Washington,Men
Two or More,2,1,2,18,0,University of Washington,Men
Unknown,0,1,0,0,7,University of Washington,Men
White,4,20,19,25,30,University of Washington,Men
Total,13,29,31,116,75,University of Washington,Men
Am. Ind./AN,0,0,0,0,0,University of Wisconsin-Green Bay,Men
Asian,0,0,0,0,2,University of Wisconsin-Green Bay,Men
Black,4,0,0,0,0,University of Wisconsin-Green Bay,Men
Hispanic,0,0,0,0,0,University of Wisconsin-Green Bay,Men
Nat. Haw./PI,0,0,0,0,0,University of Wisconsin-Green Bay,Men
US N-R,1,0,0,0,12,University of Wisconsin-Green Bay,Men
Two or More,2,0,0,0,1,University of Wisconsin-Green Bay,Men
Unknown,0,0,0,0,1,University of Wisconsin-Green Bay,Men
White,4,0,11,0,24,University of Wisconsin-Green Bay,Men
Total,11,0,11,0,40,University of Wisconsin-Green Bay,Men
Am. Ind./AN,0,0,0,0,0,University of Wisconsin-Madison,Men
Asian,0,0,0,1,2,University of Wisconsin-Madison,Men
Black,2,0,1,51,3,University of Wisconsin-Madison,Men
Hispanic,2,0,1,7,6,University of Wisconsin-Madison,Men
Nat. Haw./PI,0,0,0,2,1,University of Wisconsin-Madison,Men
US N-R,1,0,5,1,20,University of Wisconsin-Madison,Men
Two or More,0,0,0,0,0,University of Wisconsin-Madison,Men
Unknown,0,0,0,2,4,University of Wisconsin-Madison,Men
White,7,0,12,51,70,University of Wisconsin-Madison,Men
Total,12,0,19,115,106,University of Wisconsin-Madison,Men
Am. Ind./AN,0,0,0,0,1,University of Wisconsin-Milwaukee,Men
Asian,0,0,0,0,2,University of Wisconsin-Milwaukee,Men
Black,10,2,10,0,5,University of Wisconsin-Milwaukee,Men
Hispanic,0,1,3,0,3,University of Wisconsin-Milwaukee,Men
Nat. Haw./PI,0,0,0,0,1,University of Wisconsin-Milwaukee,Men
US N-R,0,0,0,0,0,University of Wisconsin-Milwaukee,Men
Two or More,1,2,6,0,2,University of Wisconsin-Milwaukee,Men
Unknown,0,0,0,0,2,University of Wisconsin-Milwaukee,Men
White,2,22,26,0,33,University of Wisconsin-Milwaukee,Men
Total,13,27,45,0,49,University of Wisconsin-Milwaukee,Men
Am. Ind./AN,0,0,0,1,0,University of Wyoming,Men
Asian,0,0,0,0,0,University of Wyoming,Men
Black,6,0,2,25,0,University of Wyoming,Men
Hispanic,0,0,3,3,1,University of Wyoming,Men
Nat. Haw./PI,0,0,0,2,0,University of Wyoming,Men
US N-R,3,0,2,0,3,University of Wyoming,Men
Two or More,2,0,1,4,5,University of Wyoming,Men
Unknown,0,0,2,8,1,University of Wyoming,Men
White,0,0,13,38,41,University of Wyoming,Men
Total,11,0,23,81,51,University of Wyoming,Men
Am. Ind./AN,0,0,0,2,0,University of the Incarnate Word,Men
Asian,0,0,0,0,0,University of the Incarnate Word,Men
Black,8,0,6,40,1,University of the Incarnate Word,Men
Hispanic,0,6,14,12,12,University of the Incarnate Word,Men
Nat. Haw./PI,0,0,0,0,0,University of the Incarnate Word,Men
US N-R,3,1,3,0,32,University of the Incarnate Word,Men
Two or More,1,2,1,6,1,University of the Incarnate Word,Men
Unknown,0,2,1,4,2,University of the Incarnate Word,Men
White,1,17,6,14,16,University of the Incarnate Word,Men
Total,13,28,31,78,64,University of the Incarnate Word,Men
Am. Ind./AN,0,0,0,0,0,University of the Pacific,Men
Asian,0,0,0,0,1,University of the Pacific,Men
Black,9,3,0,0,1,University of the Pacific,Men
Hispanic,0,3,0,0,8,University of the Pacific,Men
Nat. Haw./PI,0,0,0,0,0,University of the Pacific,Men
US N-R,2,2,0,0,27,University of the Pacific,Men
Two or More,0,0,0,0,4,University of the Pacific,Men
Unknown,0,0,0,0,1,University of the Pacific,Men
White,2,19,0,0,16,University of the Pacific,Men
Total,13,27,0,0,58,University of the Pacific,Men
Am. Ind./AN,0,0,0,0,0,Utah State University,Men
Asian,0,0,0,0,0,Utah State University,Men
Black,2,0,1,30,0,Utah State University,Men
Hispanic,0,0,1,8,1,Utah State University,Men
Nat. Haw./PI,0,0,0,20,0,Utah State University,Men
US N-R,4,0,2,2,11,Utah State University,Men
Two or More,1,0,0,7,0,Utah State University,Men
Unknown,1,0,0,4,0,Utah State University,Men
White,3,0,29,20,1,Utah State University,Men
Total,11,0,33,91,13,Utah State University,Men
Am. Ind./AN,0,0,1,0,0,Utah Valley University,Men
Asian,0,0,0,0,0,Utah Valley University,Men
Black,3,1,2,0,0,Utah Valley University,Men
Hispanic,0,1,4,0,6,Utah Valley University,Men
Nat. Haw./PI,0,0,0,0,1,Utah Valley University,Men
US N-R,2,0,2,0,12,Utah Valley University,Men
Two or More,2,0,2,0,7,Utah Valley University,Men
Unknown,1,0,1,0,2,Utah Valley University,Men
White,5,26,26,0,27,Utah Valley University,Men
Total,13,28,38,0,55,Utah Valley University,Men
Am. Ind./AN,0,0,0,0,0,Valparaiso University,Men
Asian,0,1,0,0,1,Valparaiso University,Men
Black,4,0,0,0,0,Valparaiso University,Men
Hispanic,1,0,1,0,0,Valparaiso University,Men
Nat. Haw./PI,0,0,0,0,0,Valparaiso University,Men
US N-R,6,0,1,0,1,Valparaiso University,Men
Two or More,0,1,0,0,2,Valparaiso University,Men
Unknown,0,0,0,0,0,Valparaiso University,Men
White,2,18,11,0,18,Valparaiso University,Men
Total,13,20,13,0,22,Valparaiso University,Men
Am. Ind./AN,0,0,0,0,1,Vanderbilt University,Men
Asian,0,0,0,0,0,Vanderbilt University,Men
Black,7,0,0,38,0,Vanderbilt University,Men
Hispanic,2,3,0,4,0,Vanderbilt University,Men
Nat. Haw./PI,0,0,0,0,0,Vanderbilt University,Men
US N-R,0,0,0,3,0,Vanderbilt University,Men
Two or More,1,2,0,4,0,Vanderbilt University,Men
Unknown,0,0,0,0,0,Vanderbilt University,Men
White,1,13,0,23,9,Vanderbilt University,Men
Total,11,18,0,72,10,Vanderbilt University,Men
Am. Ind./AN,0,0,0,0,0,Villanova University,Men
Asian,0,0,0,0,1,Villanova University,Men
Black,9,0,1,34,8,Villanova University,Men
Hispanic,0,2,3,6,4,Villanova University,Men
Nat. Haw./PI,0,0,0,0,0,Villanova University,Men
US N-R,1,0,5,1,1,Villanova University,Men
Two or More,1,1,2,4,4,Villanova University,Men
Unknown,0,0,0,0,1,Villanova University,Men
White,2,14,14,27,55,Villanova University,Men
Total,13,17,25,72,74,Villanova University,Men
Am. Ind./AN,0,0,0,0,0,Virginia Commonwealth University,Men
Asian,0,0,1,0,0,Virginia Commonwealth University,Men
Black,9,1,15,0,4,Virginia Commonwealth University,Men
Hispanic,0,0,1,0,7,Virginia Commonwealth University,Men
Nat. Haw./PI,0,0,0,0,0,Virginia Commonwealth University,Men
US N-R,1,0,2,0,7,Virginia Commonwealth University,Men
Two or More,0,3,4,0,1,Virginia Commonwealth University,Men
Unknown,0,0,0,0,0,Virginia Commonwealth University,Men
White,2,24,4,0,13,Virginia Commonwealth University,Men
Total,12,28,27,0,32,Virginia Commonwealth University,Men
Am. Ind./AN,0,0,1,0,1,Virginia Military Institute,Men
Asian,0,0,0,0,4,Virginia Military Institute,Men
Black,7,1,5,30,2,Virginia Military Institute,Men
Hispanic,2,0,1,1,6,Virginia Military Institute,Men
Nat. Haw./PI,0,0,0,0,0,Virginia Military Institute,Men
US N-R,1,0,0,0,0,Virginia Military Institute,Men
Two or More,0,1,2,4,5,Virginia Military Institute,Men
Unknown,0,0,0,0,1,Virginia Military Institute,Men
White,4,19,11,31,88,Virginia Military Institute,Men
Total,14,21,20,66,107,Virginia Military Institute,Men
Am. Ind./AN,0,0,1,0,0,Virginia Polytechnic Institute and State University,Men
Asian,0,0,0,0,3,Virginia Polytechnic Institute and State University,Men
Black,6,2,5,52,8,Virginia Polytechnic Institute and State University,Men
Hispanic,0,1,1,0,3,Virginia Polytechnic Institute and State University,Men
Nat. Haw./PI,0,0,0,1,0,Virginia Polytechnic Institute and State University,Men
US N-R,0,0,2,2,20,Virginia Polytechnic Institute and State University,Men
Two or More,0,1,3,3,4,Virginia Polytechnic Institute and State University,Men
Unknown,0,0,0,5,2,Virginia Polytechnic Institute and State University,Men
White,4,22,6,18,44,Virginia Polytechnic Institute and State University,Men
Total,10,26,18,81,84,Virginia Polytechnic Institute and State University,Men
Am. Ind./AN,0,0,1,0,0,Wagner College,Men
Asian,0,0,1,3,5,Wagner College,Men
Black,9,1,8,48,4,Wagner College,Men
Hispanic,3,14,1,18,21,Wagner College,Men
Nat. Haw./PI,0,0,0,1,0,Wagner College,Men
US N-R,0,0,0,0,0,Wagner College,Men
Two or More,0,1,3,5,8,Wagner College,Men
Unknown,0,0,6,1,11,Wagner College,Men
White,1,28,19,42,75,Wagner College,Men
Total,13,44,39,118,124,Wagner College,Men
Am. Ind./AN,0,0,0,0,0,Wake Forest University,Men
Asian,0,0,0,0,1,Wake Forest University,Men
Black,5,1,1,49,14,Wake Forest University,Men
Hispanic,2,2,1,1,6,Wake Forest University,Men
Nat. Haw./PI,0,0,0,0,0,Wake Forest University,Men
US N-R,4,0,4,1,10,Wake Forest University,Men
Two or More,0,3,2,4,2,Wake Forest University,Men
Unknown,0,1,0,0,0,Wake Forest University,Men
White,2,15,12,21,17,Wake Forest University,Men
Total,13,22,20,76,50,Wake Forest University,Men
Am. Ind./AN,0,1,0,0,0,Washington State University,Men
Asian,0,1,0,0,1,Washington State University,Men
Black,4,0,2,41,0,Washington State University,Men
