Race,Men Basketball,Men Baseball,Men CC/Track,Men Football,Men Other,School,Sport Category
Total,12,11,0,83,17,Morgan State University,Men
Total,13,27,34,0,93,Mount St. Mary's University,Men
Total,11,24,9,77,22,Murray State University,Men
Total,13,27,13,0,88,New Jersey Institute of Technology,Men
Total,13,25,12,90,19,New Mexico State University,Men
Total,9,22,6,0,77,Niagara University,Men
Total,13,27,13,79,14,Nicholls State University,Men
Total,12,13,20,66,6,Norfolk State University,Men
Total,14,24,17,58,9,North Carolina A&T State University,Men
Total,11,0,14,64,12,North Carolina Central University,Men
Total,11,23,25,74,76,North Carolina State University,Men
Total,12,32,44,86,32,North Dakota State University,Men
Total,10,25,23,0,56,Northeastern University,Men
Total,13,0,25,104,6,Northern Arizona University,Men
Total,13,28,0,98,50,Northern Illinois University,Men
Total,12,24,7,0,33,Northern Kentucky University,Men
Total,13,29,22,92,0,Northwestern State University,Men
Total,9,27,0,68,77,Northwestern University,Men
Total,13,27,23,0,53,Oakland University,Men
Total,13,29,13,109,32,Ohio University,Men
Total,12,34,51,86,51,Oklahoma State University,Men
Total,12,27,0,81,49,Old Dominion University,Men
Total,13,25,16,0,33,Oral Roberts University,Men
Total,12,25,0,74,58,Oregon State University,Men
Total,13,28,38,101,192,Pennsylvania State University,Men
Total,13,23,14,0,32,Pepperdine University,Men
Total,11,0,4,88,8,Portland State University,Men
Total,10,23,16,84,15,Prairie View A&M University,Men
Total,11,26,5,0,44,Presbyterian College,Men
Total,0,0,0,0,0,Princeton University,Men
Total,14,0,12,0,91,Providence College,Men
Total,11,26,23,74,74,Purdue University,Men
Total,13,26,31,0,45,Purdue University Fort Wayne,Men
Total,3,26,6,0,89,Quinnipiac University,Men
Total,13,26,9,0,34,Radford University,Men
Total,10,22,23,68,15,Rice University,Men
Total,13,27,22,0,75,Rider University,Men
Total,12,0,11,87,91,Robert Morris University,Men
Total,13,25,35,109,95,Rutgers The State University of New Jersey New Brunswick,Men
Total,9,25,24,69,116,Sacred Heart University,Men
Total,20,0,43,131,83,Saint Francis University,Men
Total,12,24,34,0,74,Saint Joseph's University,Men
Total,13,32,17,0,60,Saint Louis University,Men
Total,13,31,22,0,39,Saint Mary's College of California,Men
Total,18,23,16,0,30,Saint Peter's University,Men
Total,13,29,34,98,9,Sam Houston State University,Men
Total,10,31,21,63,15,Samford University,Men
Total,13,28,0,110,40,San Diego State University,Men
Total,13,28,29,85,50,San Jose State University,Men
Total,13,24,19,0,45,Santa Clara University,Men
Total,13,29,16,0,49,Seattle University,Men
Total,12,23,10,0,49,Seton Hall University,Men
Total,13,23,19,0,68,Siena College,Men
Total,12,0,23,92,6,South Carolina State University,Men
Total,13,30,37,90,53,South Dakota State University,Men
Total,13,27,35,84,4,Southeast Missouri State University,Men
Total,13,28,29,91,8,Southeastern Louisiana University,Men
Total,11,24,18,0,43,Southern Illinois University Edwardsville,Men
Total,13,30,30,66,26,Southern Illinois University at Carbondale,Men
Total,13,0,0,76,50,Southern Methodist University,Men
Total,12,21,23,41,5,Southern University Baton Rouge,Men
Total,18,0,59,126,11,Southern Utah University,Men
Total,13,25,20,0,102,St. Bonaventure University,Men
Total,9,29,0,0,86,St. John's University (New York),Men
Total,11,22,17,88,130,Stanford University,Men
Total,12,30,36,104,12,Stephen F. Austin State University,Men
Total,13,24,8,0,49,Stetson University,Men
Total,8,26,7,56,51,Stony Brook University,Men
Total,13,0,19,72,50,Syracuse University,Men
Total,10,0,7,69,52,Temple University,Men
Total,13,0,11,84,13,Tennessee State University,Men
Total,13,28,7,99,15,Tennessee Technological University,Men
Total,13,29,14,0,8,Texas A&M University-Corpus Christi,Men
Total,13,29,39,88,51,Texas A&M University College Station,Men
Total,7,23,22,63,45,Texas Christian University,Men
Total,13,24,24,67,6,Texas Southern University,Men
Total,11,33,27,78,7,Texas State University,Men
Total,11,25,34,71,17,Texas Tech University,Men
Total,10,23,22,61,30,The Citadel,Men
Total,11,26,32,78,211,The Ohio State University,Men
Total,7,1,9,6,12,The University of North Carolina at Charlotte,Men
Total,16,42,19,0,56,The University of North Carolina at Greensboro,Men
Total,13,34,17,110,20,The University of Southern Mississippi,Men
Total,14,24,24,0,39,The University of Texas Rio Grande Valley,Men
Total,12,0,18,110,35,The University of Tulsa,Men
Total,9,15,0,50,68,Towson University,Men
Total,13,33,32,86,18,Troy University,Men
Total,13,28,15,105,7,Tulane University,Men
Total,0,0,0,0,0,U.S. Air Force Academy,Men
Total,0,0,0,0,0,U.S. Military Academy,Men
Total,0,0,0,0,0,U.S. Naval Academy,Men
Total,14,25,40,100,61,University at Albany,Men
Total,12,0,34,85,27,University at Buffalo the State University of New York,Men
Total,13,23,29,109,32,University of Akron,Men
Total,12,29,34,86,42,University of Alabama,Men
Total,13,28,0,88,34,University of Alabama at Birmingham,Men
Total,11,30,23,88,44,University of Arizona,Men
Total,8,25,26,71,17,University of Arkansas Fayetteville,Men
Total,14,16,19,70,8,University of Arkansas Pine Bluff,Men
Total,13,30,36,0,32,University of Arkansas at Little Rock,Men
Total,10,29,34,70,127,University of California Berkeley,Men
Total,13,31,10,85,52,University of California Davis,Men
Total,16,40,31,0,89,University of California Irvine,Men
Total,13,28,25,65,80,University of California Los Angeles,Men
Total,12,24,25,0,28,University of California Riverside,Men
Total,13,29,35,0,100,University of California Santa Barbara,Men
Total,15,32,23,106,62,University of Central Arkansas,Men
Total,13,32,0,113,50,University of Central Florida,Men
Total,13,32,24,110,37,University of Cincinnati,Men
Total,13,0,28,58,16,University of Colorado Boulder,Men
Total,12,32,32,109,53,University of Connecticut,Men
Total,18,43,17,120,57,University of Dayton,Men
Total,13,27,0,80,83,University of Delaware,Men
Total,13,0,0,0,149,University of Denver,Men
Total,13,0,31,0,94,University of Detroit Mercy,Men
Total,13,27,17,0,47,University of Evansville,Men
Total,13,32,51,113,69,University of Florida,Men
Total,13,31,21,84,43,University of Georgia,Men
Total,4,6,0,0,18,University of Hartford,Men
Total,13,28,0,95,51,University of Hawaii Manoa,Men
Total,13,33,48,109,13,University of Houston,Men
Total,15,0,35,113,17,University of Idaho,Men
Total,13,28,16,0,49,University of Illinois Chicago,Men
Total,10,24,27,91,38,University of Illinois Urbana-Champaign,Men
Total,12,27,46,88,27,University of Iowa,Men
Total,11,30,33,101,11,University of Kansas,Men
Total,13,32,26,84,68,University of Kentucky,Men
Total,13,26,20,78,14,University of Louisiana Monroe,Men
Total,14,32,46,101,24,University of Louisiana at Lafayette,Men
Total,12,28,26,61,75,University of Louisville,Men
Total,12,28,19,91,25,University of Maine,Men
Total,13,23,19,0,90,University of Maryland Baltimore County,Men
Total,13,24,26,108,109,University of Maryland College Park,Men
Total,13,21,20,0,6,University of Maryland Eastern Shore,Men
Total,13,1,9,107,73,University of Massachusetts Amherst,Men
Total,14,29,46,0,84,University of Massachusetts Lowell,Men
Total,9,17,19,100,47,University of Memphis,Men
Total,11,24,11,75,7,University of Miami (Florida),Men
Total,7,25,24,94,176,University of Michigan,Men
Total,13,33,27,102,86,University of Minnesota Twin Cities,Men
Total,13,29,28,78,16,University of Mississippi,Men
Total,13,0,29,0,36,University of Missouri-Kansas City,Men
Total,9,29,17,71,57,University of Missouri Columbia,Men
Total,13,0,41,87,9,University of Montana,Men
Total,13,33,41,92,65,University of Nebraska-Lincoln,Men
Total,12,25,0,0,81,University of Nebraska at Omaha,Men
Total,13,35,0,111,66,University of Nevada Las Vegas,Men
Total,13,32,15,111,24,University of Nevada Reno,Men
Total,13,0,10,82,61,University of New Hampshire,Men
Total,13,30,26,111,21,University of New Mexico,Men
Total,13,27,16,0,16,University of New Orleans,Men
Total,10,26,9,71,12,University of North Alabama,Men
Total,12,25,21,0,34,University of North Carolina Asheville,Men
Total,8,18,31,71,122,University of North Carolina Chapel Hill,Men
Total,13,28,16,0,47,University of North Carolina Wilmington,Men
Total,13,0,6,78,35,University of North Dakota,Men
Total,10,24,20,0,38,University of North Florida,Men
Total,5,0,9,27,2,University of North Texas,Men
Total,12,23,10,81,19,University of Northern Colorado,Men
Total,15,0,25,80,22,University of Northern Iowa,Men
Total,10,17,14,62,125,University of Notre Dame,Men
Total,15,42,50,126,155,University of Oklahoma,Men
Total,12,29,30,74,15,University of Oregon,Men
Total,0,0,0,0,0,University of Pennsylvania,Men
Total,13,28,20,106,59,University of Pittsburgh,Men
Total,14,31,22,0,34,University of Portland,Men
Total,13,21,34,62,20,University of Rhode Island,Men
Total,10,17,0,73,57,University of Richmond,Men
Total,13,23,0,0,36,University of San Diego,Men
Total,15,54,17,0,44,University of San Francisco,Men
Total,7,25,23,65,14,University of South Alabama,Men
Total,8,25,13,66,51,University of South Carolina Columbia,Men
Total,13,25,27,0,30,University of South Carolina Upstate,Men
Total,13,0,26,83,23,University of South Dakota,Men
Total,15,46,99,96,80,University of South Florida,Men
Total,12,28,13,91,62,University of Southern California,Men
Total,4,15,7,31,9,University of Tennessee Knoxville,Men
Total,12,0,10,91,38,University of Tennessee at Chattanooga,Men
Total,13,21,28,104,16,University of Tennessee at Martin,Men
Total,13,28,34,0,17,University of Texas at Arlington,Men
Total,13,31,52,112,61,University of Texas at Austin,Men
Total,12,0,17,76,8,University of Texas at El Paso,Men
Total,12,28,15,71,13,University of Texas at San Antonio,Men
Total,11,43,16,94,12,University of Toledo,Men
Total,13,28,0,85,101,University of Utah,Men
Total,8,0,0,0,81,University of Vermont,Men
Total,10,21,22,52,112,University of Virginia,Men
Total,13,29,31,116,75,University of Washington,Men
Total,11,0,11,0,40,University of Wisconsin-Green Bay,Men
Total,12,0,19,115,106,University of Wisconsin-Madison,Men
Total,13,27,45,0,49,University of Wisconsin-Milwaukee,Men
Total,11,0,23,81,51,University of Wyoming,Men
Total,13,28,31,78,64,University of the Incarnate Word,Men
Total,13,27,0,0,58,University of the Pacific,Men
Total,11,0,33,91,13,Utah State University,Men
Total,13,28,38,0,55,Utah Valley University,Men
Total,13,20,13,0,22,Valparaiso University,Men
Total,11,18,0,72,10,Vanderbilt University,Men
Total,13,17,25,72,74,Villanova University,Men
Total,12,28,27,0,32,Virginia Commonwealth University,Men
Total,14,21,20,66,107,Virginia Military Institute,Men
Total,10,26,18,81,84,Virginia Polytechnic Institute and State University,Men
Total,13,44,39,118,124,Wagner College,Men
Total,13,22,20,76,50,Wake Forest University,Men
Total,13,28,31,106,9,Washington State University,Men
Total,13,0,43,84,18,Weber State University,Men
Total,8,29,0,67,73,West Virginia University,Men
Total,13,35,32,81,9,Western Carolina University,Men
Total,11,19,12,65,31,Western Illinois University,Men
Total,13,31,19,88,9,Western Kentucky University,Men
Total,13,28,0,96,61,Western Michigan University,Men
Total,2,14,10,0,2,Wichita State University,Men
Total,13,26,24,61,34,William & Mary,Men
Total,13,27,31,0,34,Winthrop University,Men
Total,12,19,8,81,29,Wofford College,Men
Total,15,38,35,0,48,Wright State University,Men
Total,14,30,11,0,61,Xavier University,Men
Total,0,0,0,0,0,Yale University,Men
Total,13,24,46,102,34,Youngstown State University,Men
